ZONA;Coletivo;Individual;Motorizado;Não Motorizado;Total
119;61420,21;15747,94;77168,15;34710,84;111879
120;0;0;0;0;0
121;37598,22;17943,31;55541,52;39073,4;94614,93
122;26923,12;15898,65;42821,77;30119,27;72941,04
123;42097,21;9864,31;51961,52;32042,01;84003,53
124;53185,41;31945,04;85130,45;45103,32;130233,77
125;23371,14;13383,05;36754,19;43389,47;80143,66
126;25338,44;23492,56;48830,99;23042,07;71873,07
127;38979,51;50150,94;89130,45;39014,35;128144,81
128;16232,41;16598,46;32830,87;2926,31;35757,18
129;30254,66;22169,9;52424,56;10293,83;62718,39
130;4028,78;4080,25;8109,03;1552,77;9661,8
131;17764,73;7713,3;25478,03;6582,4;32060,43
132;7025;7245,19;14270,19;603,73;14873,93
133;35666,92;37218,41;72885,33;19231,45;92116,78
134;23470,47;37046,26;60516,73;12176,37;72693,09
135;30318,03;30279,62;60597,65;23067,35;83664,99
136;28299,62;33033,45;61333,07;28938,36;90271,42
137;37989,35;39958,23;77947,57;28930,91;106878,48
138;8709,28;14126,1;22835,38;11721,32;34556,7
139;24909,74;18282,16;43191,9;19831,51;63023,41
140;23756,48;17976,58;41733,06;48093,05;89826,11
141;58368,65;41917,07;100285,72;60419,66;160705,38
142;32988,22;24782,04;57770,26;40428,76;98199,02
143;0;0;0;0;0
144;67610,78;62428,63;130039,41;33647,1;163686,51
145;4810,2;11295,78;16105,98;4166,3;20272,28
146;0;0;0;0;0
147;25107,19;18492,86;43600,05;28774,4;72374,45
148;12530,26;15538,52;28068,78;20795,11;48863,89
149;0;77,56;77,56;350,11;427,67
150;27140,09;12738,18;39878,27;23666,78;63545,05
151;51051,07;52145,24;103196,31;75981,22;179177,53
152;21830,94;30467,73;52298,67;27157,59;79456,26
153;18860,17;17243,32;36103,49;5322,57;41426,06
154;35336,46;44455,07;79791,53;20508,17;100299,7
155;14599,15;9398,86;23998,01;18605,7;42603,7
156;33253,94;30168,43;63422,37;24851,1;88273,48
157;10999,21;14049,85;25049,06;9544,7;34593,76
158;31804,18;19047,25;50851,42;25018,05;75869,48
159;28730,29;32185,62;60915,91;39478,31;100394,22
160;22422,63;15401,12;37823,75;15674,29;53498,04
161;27798,03;43331,5;71129,53;50833,6;121963,13
162;27007,1;21908,57;48915,68;19851,69;68767,37
163;26159,58;48209,16;74368,74;23153,07;97521,8
164;9126,23;9210,91;18337,14;7398,07;25735,22
165;18093,1;14719,94;32813,04;4748,58;37561,62
166;51203,03;45728,73;96931,76;22395,75;119327,51
167;56550,89;38836,8;95387,69;22746,64;118134,33
168;32925,02;23116,99;56042,01;18037,09;74079,1
169;50739,78;23523,17;74262,95;13013,33;87276,28
170;48028,85;25145,82;73174,67;24130,04;97304,71
171;38241,94;21902,52;60144,46;21017,63;81162,08
172;18932,73;20596,06;39528,79;12447,34;51976,13
