ZONA;Metrô;Trem;Ônibus;Fretado;Escolar;Automóvel;Táxi;Moto;Bicicleta;A pé;Outros
 401 ;5347,30;11992,34;40685,02;4779,09;19419,51;76263,53;1437,65;1659,63;11295,39;130100,22;1071,55
 402 ;263,84;1401,08;5126,02;440,34;2578,52;6415,35;53,53;0,00;2131,69;11085,63;0,00
 403 ;314,99;961,78;3208,81;1722,76;2524,23;3630,52;0,00;0,00;2115,54;8671,68;0,00
 404 ;2698,22;8388,11;32983,59;2111,10;1235,98;102977,88;2571,96;4369,32;3897,54;84700,77;148,73
 405 ;1339,80;5759,06;18065,58;2163,51;1839,80;24464,04;1070,55;3358,89;2148,77;18402,31;0,00
 406 ;1646,02;6596,20;25172,88;3499,13;397,73;33984,41;487,01;2231,65;1336,67;16686,37;487,01
 407 ;2618,80;4517,63;36017,16;2128,93;2877,39;58141,68;0,00;5816,33;3031,11;79005,64;0,00
 408 ;2578,35;3463,19;11710,92;279,32;3261,78;11454,06;0,00;1277,86;1055,58;29859,97;0,00
 409 ;951,08;716,84;4325,68;155,32;1774,82;5840,09;0,00;617,59;0,00;10320,36;0,00
 410 ;189,68;84,02;3518,33;0,00;1652,09;5520,30;0,00;1764,19;363,21;3535,94;0,00
 411 ;266,07;144,01;4829,11;480,99;1218,94;8788,09;1070,55;930,20;103,98;6654,99;0,00
 412 ;406,78;1444,64;12283,69;860,42;694,20;17273,48;0,00;2593,50;234,92;19106,21;0,00
 413 ;0,00;1652,94;6029,78;0,00;5297,57;7450,00;0,00;1013,57;576,72;14448,15;0,00
 414 ;0,00;319,53;3350,63;556,97;4513,07;13794,54;1557,08;802,80;2705,20;27476,49;148,73
 415 ;0,00;0,00;1996,01;2031,39;1771,34;6046,86;239,12;32,44;855,61;18473,60;246,28
 416 ;210,20;0,00;1304,74;420,39;4267,41;13111,60;0,00;1520,46;5694,24;19998,52;246,28
 417 ;3348,66;2958,99;6965,83;0,00;4530,33;40066,41;1692,66;6424,70;1047,23;43564,48;488,23
 418 ;3311,09;2408,27;7756,03;391,89;3953,42;36184,26;1755,87;5934,52;0,00;29954,84;488,23
 419 ;2310,95;1770,48;8861,67;133,92;6547,71;29560,62;161,82;10718,11;97,66;34874,33;0,00
 420 ;279,55;28,15;4434,68;0,00;163,33;9481,79;145,36;286,29;461,08;3901,98;0,00
 421 ;4004,73;8837,22;10872,09;3604,47;794,43;25397,80;110,58;2144,14;320,79;21839,38;1396,80
 422 ;12971,14;18880,02;84103,73;3090,62;7233,66;145026,64;5347,63;5990,91;850,52;51188,21;903,24
 423 ;934,89;1545,71;5220,13;182,34;3623,96;29029,55;784,77;995,71;0,00;6664,54;0,00
 424 ;1080,99;1221,41;11831,18;687,53;3129,17;16687,34;1518,43;537,67;0,00;11270,97;0,00
 425 ;884,42;0,00;4535,65;587,69;160,74;13013,43;1671,78;453,17;844,08;15078,03;0,00
 426 ;1225,27;2879,34;7548,93;902,20;4561,79;20369,35;1053,76;421,97;2288,12;9105,74;0,00
 427 ;4298,14;5214,49;3734,65;1715,23;1923,44;28160,82;1167,88;1159,77;0,00;24963,34;0,00
 428 ;858,09;4774,26;10977,57;1384,18;3260,05;40623,45;809,56;231,66;314,08;26922,48;838,96
 429 ;2315,54;2104,89;9789,55;789,81;5961,34;41849,08;0,00;1739,58;0,00;35334,10;838,96
 430 ;3364,07;4322,58;10426,53;814,35;3479,52;22971,02;141,71;2491,11;207,91;19590,00;0,00
 431 ;3453,20;5496,20;29655,50;6726,24;4341,40;72944,68;1110,78;4441,13;1545,65;52950,27;0,00
 432 ;7934,28;4209,38;26321,63;1454,83;2989,54;93901,60;3279,34;3572,45;0,00;38362,61;0,00
 433 ;510,38;2653,52;37365,88;3340,31;5539,02;39669,58;0,00;7311,85;2285,95;41416,86;0,00
 434 ;42,79;594,19;876,62;41,29;442,38;3564,81;0,00;63,20;81,23;664,74;0,00
 435 ;2875,06;5454,64;12862,36;7332,34;5915,23;24263,21;216,98;2164,57;0,00;15017,83;0,00
 436 ;4773,13;15129,61;41245,25;1413,91;23830,69;79361,14;4207,63;1945,38;0,00;89274,28;1535,73
 437 ;7210,06;14648,52;33437,44;8294,43;8152,42;48127,94;73,25;2543,52;0,00;108525,75;0,00
 438 ;3879,78;8172,29;21432,01;2901,35;5809,87;29331,32;0,00;539,90;0,00;51182,10;0,00
 439 ;976,96;1293,46;5214,70;713,12;752,12;8341,76;0,00;1104,81;0,00;8170,25;0,00
 440 ;9811,78;12033,23;26866,44;2467,85;14940,89;62496,97;386,30;1860,84;7916,83;36403,29;1233,48
 441 ;841,73;1401,38;5448,08;467,77;4012,29;7312,68;158,26;0,00;339,25;6541,54;0,00
 442 ;1138,95;1353,24;2576,48;267,80;2301,94;6171,77;73,25;0,00;541,14;3807,34;0,00
 443 ;323,89;1993,97;1549,88;0,00;2614,94;2278,58;0,00;446,22;0,00;5230,41;0,00
 444 ;903,93;5159,96;2058,62;0,00;7356,38;6391,12;0,00;945,35;0,00;24475,38;0,00
 445 ;2682,35;0,00;32269,46;2116,74;15376,21;67129,18;4479,34;10247,70;0,00;43684,95;0,00
 446 ;2284,86;0,00;15171,67;7162,49;4430,75;44308,88;808,23;3433,42;1201,54;38623,71;138,88
 447 ;717,06;324,18;19200,52;2017,16;3837,47;47028,92;668,02;5086,36;439,15;24771,94;436,16
 448 ;1641,34;1761,12;29519,68;0,00;7306,64;50002,73;687,11;6603,67;1551,39;38484,55;1211,84
 449 ;3395,83;5668,56;66807,12;2587,57;12437,42;103015,92;5167,78;9544,26;549,24;43502,03;0,00
 450 ;986,89;0,00;54531,38;3759,99;11110,38;64025,94;1728,81;7933,80;3401,62;102785,48;0,00
 451 ;2078,52;0,00;35511,62;2195,04;13030,98;54062,72;2128,40;4715,52;0,00;52093,19;0,00
 452 ;586,24;133,48;10594,20;435,63;3932,22;14802,42;0,00;2477,22;835,87;27255,95;0,00
 453 ;809,31;0,00;6136,75;374,86;6106,68;8102,57;0,00;2286,28;0,00;10628,84;0,00
 454 ;1346,16;591,64;49017,33;2308,17;13186,07;49319,04;378,20;7263,99;3741,98;98778,55;0,00
 455 ;8343,22;1253,82;30691,00;974,92;8182,25;51589,62;4113,43;3050,13;1384,63;69119,20;0,00
 456 ;5534,89;741,86;30667,16;3118,93;6361,51;38553,80;0,00;10669,19;2305,91;68696,16;0,00
 457 ;4298,41;509,40;20657,40;2924,76;2822,01;46569,60;1403,81;8367,85;1393,46;94793,60;0,00
 458 ;4650,94;0,00;19077,27;1191,47;2817,23;19320,47;897,57;6208,69;1132,46;36812,21;0,00
 459 ;1723,06;0,00;20697,81;266,30;7579,59;12302,85;0,00;1802,42;0,00;39511,08;0,00
 460 ;4876,11;1184,27;30869,67;955,35;5997,71;36626,94;676,19;5546,05;488,49;36299,84;802,50
 461 ;4614,26;0,00;11801,76;243,38;2709,69;23934,25;676,19;5171,44;1052,35;28022,84;92,12
 462 ;6333,63;0,00;31497,17;1321,09;5911,05;28174,11;0,00;8317,11;2045,55;63485,34;0,00
 463 ;3213,50;0,00;16800,02;0,00;7794,64;14986,80;0,00;5935,95;0,00;68287,77;0,00
 464 ;7300,68;0,00;18521,80;0,00;3791,95;21677,69;0,00;12107,20;0,00;53362,22;0,00
 465 ;13522,89;651,22;22495,42;1143,31;10964,99;51058,11;528,90;11409,28;3299,67;70551,23;1235,23
 466 ;2634,12;0,00;28410,41;2628,02;9066,44;38266,35;630,48;6854,40;1142,61;47315,33;772,64
 467 ;1895,69;0,00;6510,85;243,99;4036,44;10327,15;0,00;567,88;159,21;9237,61;0,00
 468 ;15856,49;353,61;49165,73;75,82;20375,68;74572,04;539,31;14281,36;4717,10;79767,88;287,19
 469 ;240,04;0,00;867,22;75,82;1348,51;1876,06;0,00;236,96;0,00;2013,46;0,00
 470 ;0,00;0,00;2471,66;770,01;1653,76;5517,17;0,00;664,44;159,21;3552,00;439,05
 471 ;324,28;0,00;1595,52;106,72;3591,46;5309,75;0,00;254,17;0,00;8961,15;0,00
 472 ;2479,97;400,93;12365,86;138,83;8191,16;23965,40;325,62;3255,58;261,66;20213,12;138,83
 473 ;687,08;1706,10;5235,23;0,00;4178,06;7686,35;0,00;1550,71;784,97;3601,21;86,89
 474 ;316,48;0,00;2327,12;348,78;3010,35;1448,28;0,00;318,66;0,00;996,69;0,00
 475 ;245,55;0,00;5003,21;768,80;9096,16;10689,65;0,00;2238,74;683,44;14872,73;261,24
 476 ;3607,23;7657,17;36405,03;262,38;14711,50;61480,12;405,38;9545,39;223,54;39044,84;1476,52
 477 ;1178,57;1600,87;17623,72;1479,40;10790,58;45263,46;638,80;4270,37;1070,88;35605,31;0,00
 478 ;1512,13;3967,22;35086,87;6479,21;259,08;51001,19;2463,56;12430,32;0,00;13985,11;333,03
 479 ;331,61;2663,19;2803,05;0,00;626,70;4259,02;1660,30;130,62;0,00;3225,76;0,00
 480 ;0,00;1159,49;11954,05;623,87;6768,85;21174,60;0,00;0,00;223,54;20121,99;0,00
 481 ;1416,63;5796,90;14546,82;0,00;4234,50;27375,24;2078,43;11000,42;0,00;40670,85;0,00
 482 ;765,19;2719,10;4931,18;134,34;1765,19;14739,34;0,00;1493,43;1333,44;14734,98;0,00
 483 ;152,86;539,80;1679,81;1098,22;821,01;6774,08;0,00;2,41;0,00;936,88;0,00
 484 ;5525,86;13683,18;28109,94;1141,00;14805,05;28463,86;166,86;4181,66;0,00;52731,16;443,21
 485 ;6442,80;15516,18;36142,96;1537,13;13382,21;41963,18;0,00;3516,04;378,29;75250,78;449,15
 486 ;4212,98;4616,97;14089,76;96,36;2967,98;37350,47;0,00;1331,41;0,00;47823,49;3344,32
 487 ;1210,21;2628,46;8658,19;354,31;3199,17;13373,78;0,00;1513,99;195,94;11217,19;0,00
 488 ;1692,87;876,92;7409,82;454,12;3662,47;16064,50;161,51;1362,37;0,00;35446,13;449,15
 489 ;1562,78;8978,76;30304,03;202,33;4217,19;29878,10;2276,37;3921,11;0,00;8768,17;0,00
 490 ;2404,84;4644,37;18864,81;971,22;4183,36;31086,68;492,55;1842,96;39,07;8812,45;452,16
 491 ;1623,64;6620,93;12834,28;1066,77;7901,44;24586,49;722,27;2010,75;272,41;15669,10;0,00
 492 ;5552,89;6893,41;19555,75;748,69;8410,74;57564,23;2522,86;8074,91;1434,94;48568,54;0,00
 493 ;1155,21;732,09;8455,84;0,00;2944,23;9004,43;0,00;279,61;117,36;12931,82;130,62
 494 ;4312,21;4039,58;10906,70;967,47;6325,75;19763,71;0,00;2897,48;0,00;37075,43;0,00
 495 ;4472,25;2363,43;26066,20;606,83;16020,40;42698,31;275,10;4260,94;768,06;51224,72;0,00
 496 ;5690,05;7289,42;8588,27;646,87;4211,41;48940,58;0,00;4242,09;1162,53;28863,99;509,78
 497 ;196,83;393,79;3166,37;439,51;1358,37;6602,55;155,60;1219,65;101,61;8294,53;0,00
 498 ;2292,24;4901,81;6413,55;0,00;1166,41;16925,81;471,06;2326,66;195,94;12487,59;7,15
 499 ;2631,07;5684,30;31125,02;1482,18;10914,37;35787,46;108,32;4085,60;901,28;67120,23;0,00
 500 ;1766,72;3624,65;12283,94;0,00;4727,85;21268,69;605,57;199,79;831,88;32740,81;0,00
 501 ;927,61;3439,50;17070,14;97,51;3950,92;23549,36;395,69;2681,14;1010,27;42688,53;0,00
 502 ;1587,52;3456,98;13854,08;1089,52;167,45;10685,72;26,00;2454,81;482,45;11673,11;567,48
 503 ;597,97;4737,02;2734,21;642,51;85,62;11735,30;0,00;912,73;0,00;5513,00;86,89
 504 ;3926,72;10480,48;14242,24;1340,67;1416,10;33188,64;46,59;15811,97;0,00;68912,66;0,00
 505 ;418,51;840,29;610,34;0,00;554,29;5863,24;52,34;98,89;0,00;1594,77;0,00
 506 ;2612,32;1067,94;18321,63;258,05;6771,92;35077,68;239,85;3196,33;975,40;12665,93;204,91
 507 ;1870,43;0,00;14515,21;181,85;1407,11;24794,45;0,00;4228,14;0,00;8317,63;443,21
 508 ;2300,87;758,87;53280,27;2936,17;8584,05;91074,47;342,88;11084,03;611,91;73468,40;204,91
 509 ;162,61;0,00;1175,25;0,00;1208,52;2587,07;0,00;296,93;0,00;1461,11;0,00
 510 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 511 ;596,51;516,09;6685,46;265,09;4017,56;15847,58;0,00;2063,15;611,91;27084,22;70,24
 512 ;981,41;786,42;12550,86;0,00;7432,18;33325,42;227,61;1247,77;0,00;38647,12;943,77
 513 ;127,37;254,95;260,74;0,00;333,35;1556,46;0,00;39,45;92,37;303,42;0,00
 514 ;5676,69;15131,33;17906,74;2439,73;11202,53;37828,00;2640,33;3749,28;488,21;59825,90;0,00
 515 ;4253,47;14939,92;21350,63;4693,12;8834,09;35643,84;1608,08;9644,65;580,58;53401,94;0,00
 516 ;3566,87;1514,83;39763,70;2423,07;17634,77;84816,93;1570,58;8897,66;516,92;52786,10;115,32
 517 ;83,32;151,64;2699,85;166,63;3145,05;2543,57;0,00;406,92;0,00;13722,93;0,00
