ZONA;Metrô;Trem;Ônibus;Fretado;Escolar;Automóvel;Táxi;Moto;Bicicleta;A pé;Outros
 225 ;4191,60;1180,18;13136,02;0,00;2973,92;10008,97;0,00;708,06;0,00;20239,21;0,00
 226 ;21207,83;8687,39;20068,85;0,00;8289,20;43484,22;0,00;2572,80;0,00;71489,91;0,00
 227 ;8320,20;6528,44;20401,70;897,39;9409,15;26779,14;1348,39;239,78;0,00;17442,96;0,00
 228 ;6374,31;3642,97;10131,89;0,00;2305,89;13623,09;0,00;909,92;659,92;21752,32;0,00
 229 ;20907,83;8776,11;64368,74;603,00;16860,91;37125,94;0,00;927,97;659,92;95438,76;0,00
 230 ;12577,52;7167,74;22313,65;0,00;11967,26;17603,36;1737,00;1189,50;0,00;46637,55;0,00
 231 ;3753,86;362,63;17343,48;1118,23;3774,20;5319,16;0,00;1029,17;0,00;16404,92;910,14
 232 ;3502,34;98,23;22948,39;0,00;5684,64;11463,20;0,00;1728,55;282,36;29261,03;0,00
 233 ;4900,93;489,46;25274,34;958,71;4483,41;12491,69;0,00;1147,10;6284,24;38418,79;0,00
 234 ;4781,27;649,18;22679,89;683,59;2891,25;19194,25;0,00;992,46;382,38;53414,54;0,00
 235 ;4150,57;0,00;23361,43;0,00;7989,08;22631,31;0,00;3606,82;1405,31;37671,32;409,10
 236 ;3169,49;332,44;10684,53;88,13;1063,79;12165,12;912,10;58,09;59,48;13815,05;0,00
 237 ;5143,15;417,56;12235,76;191,66;182,79;18340,34;301,00;1345,68;77,09;9844,65;0,00
 238 ;8408,05;0,00;8128,63;135,09;1031,58;14070,12;1533,62;1335,76;71,89;8880,86;0,00
 239 ;11473,91;1126,86;16762,23;0,00;3831,91;29809,81;1409,60;2425,46;931,97;13177,32;0,00
 240 ;4820,37;407,53;14872,06;0,00;57,69;17052,86;704,48;2271,07;2024,09;13233,86;511,03
 241 ;3387,11;1275,91;6832,31;0,00;1165,49;8402,82;166,22;925,83;1374,31;6340,53;212,59
 242 ;10978,04;2266,31;8329,76;0,00;2589,72;7440,82;0,00;1739,38;5847,08;13428,41;0,00
 243 ;4992,69;344,40;14234,07;0,00;5215,52;23109,93;349,68;2173,61;491,14;42762,60;0,00
 244 ;7508,95;0,00;22227,09;0,00;6691,93;21572,77;1024,38;3235,38;1382,63;47388,95;0,00
 245 ;3572,55;0,00;6696,08;0,00;793,70;7283,83;0,00;483,79;0,00;13965,82;0,00
 246 ;5894,19;0,00;15460,66;310,03;1782,92;9701,79;167,52;2913,01;0,00;10205,18;455,09
 247 ;14055,24;0,00;48265,32;894,08;8281,21;45470,80;1976,24;2739,83;0,00;77677,93;0,00
 248 ;317,68;0,00;1196,48;0,00;0,00;2701,35;0,00;1407,86;251,12;108,10;0,00
 249 ;4137,67;0,00;13838,24;146,61;1104,25;24029,38;238,13;336,82;879,99;20017,91;0,00
 250 ;4974,70;0,00;9246,06;0,00;1261,52;17172,44;721,82;949,64;145,02;11947,86;0,00
 251 ;5721,97;0,00;7650,00;0,00;2477,36;13014,52;1433,83;1235,53;0,00;6944,75;0,00
 252 ;6701,67;0,00;6705,53;0,00;2259,47;11175,62;105,78;339,00;0,00;17661,24;0,00
 253 ;1915,09;2653,95;1911,86;0,00;260,03;2289,56;385,08;755,45;169,45;2880,85;0,00
 254 ;24223,58;879,92;22185,00;0,00;2684,29;31707,49;724,25;4511,83;34,46;17864,42;354,92
 255 ;4750,13;3553,00;14575,19;814,35;2484,12;61105,98;0,00;103,48;3507,54;38430,25;436,16
 256 ;4094,12;1192,17;11739,33;260,87;2133,55;13351,85;521,74;1603,04;0,00;8443,47;0,00
 257 ;5586,02;776,36;11371,29;0,00;1369,96;23227,91;0,00;318,77;0,00;17522,65;0,00
 258 ;6192,45;369,09;29949,02;0,00;6875,51;25336,36;0,00;1384,86;1009,04;23442,93;0,00
 259 ;1868,20;0,00;10888,46;208,46;3419,41;11716,59;0,00;942,06;314,08;19236,20;138,88
 260 ;7469,79;0,00;12189,61;0,00;2314,51;8337,71;0,00;778,79;1076,57;24802,36;0,00
 261 ;2139,34;0,00;28739,77;0,00;3297,95;25327,28;252,84;1908,63;777,65;22026,52;0,00
 262 ;7197,35;498,72;24022,10;1314,15;2219,26;27906,66;0,00;1157,78;503,93;42534,25;7017,92
 263 ;418,09;0,00;34946,44;286,62;6398,46;22988,63;0,00;1661,89;0,00;49245,61;303,38
 264 ;5963,23;0,00;37429,65;0,00;3343,38;25099,53;0,00;788,78;1276,34;34277,53;0,00
 265 ;6052,52;324,18;21695,81;91,58;1749,62;26315,43;2855,18;2930,20;0,00;37922,25;0,00
 266 ;621,47;0,00;4624,42;0,00;1123,34;5567,43;0,00;2610,78;0,00;7581,18;0,00
 267 ;2756,43;1126,31;11906,03;690,50;3285,25;15342,15;0,00;549,08;221,57;18783,00;0,00
 268 ;1016,95;44,94;9800,97;290,07;1747,29;15643,50;1272,26;1449,06;748,06;7771,99;0,00
 269 ;3479,32;82,43;17997,58;747,88;987,91;24281,97;1718,01;1440,51;686,03;15600,78;0,00
 270 ;1713,45;0,00;5446,14;152,75;1174,15;12251,38;578,97;945,67;0,00;5261,28;0,00
 271 ;1905,72;0,00;4826,99;813,82;0,00;9445,48;2283,47;1579,70;0,00;1302,17;639,02
 272 ;2843,19;0,00;6664,17;38,32;2221,14;19265,81;1395,71;403,71;113,77;8333,95;0,00
 273 ;8660,62;0,00;24886,58;0,00;5857,54;42498,01;552,02;2307,22;0,00;33678,53;0,00
 274 ;22411,26;0,00;24105,99;9,51;3607,85;41044,30;2030,02;27,13;283,99;42405,49;0,00
 275 ;22726,13;0,00;16759,08;159,06;2903,62;30871,28;2201,08;1840,81;0,00;35718,06;0,00
 276 ;22199,14;0,00;26262,04;0,00;6498,68;57322,82;195,43;4441,48;0,00;43022,38;0,00
 277 ;4197,79;937,85;24952,62;0,00;4953,59;42835,88;656,61;2463,25;66,96;43097,47;0,00
 278 ;11986,00;308,14;44460,37;0,00;12407,66;38043,95;1032,08;7966,83;519,41;92953,42;0,00
 279 ;4624,88;1690,78;27175,91;0,00;10368,39;9838,91;516,34;2784,77;0,00;44159,53;861,81
 280 ;6163,09;5128,51;26903,44;1358,35;976,48;21673,94;264,78;2432,75;339,19;13254,01;0,00
 281 ;2585,61;2482,68;19581,45;519,66;5637,38;33482,10;2063,38;2520,92;0,00;16146,08;0,00
 282 ;4839,47;419,65;20028,06;0,00;2001,68;26813,77;1898,44;6236,91;0,00;23788,47;861,81
