 ZONA ; Ônibus ; Transporte Fretado ; Transporte Escolar ; Dirigindo Automóvel ; Táxi ; Metrô ; Trem ; Moto ; Bicicleta ; A pé ; Outros ; Total 
414;24407,85;1847,04;447,92;19767,41;0,00;1848,99;160,66;1841,25;1561,26;40534,98;91,17;92508,53
415;4149,47;188,49;743,98;3823,40;0,00;71,84;0,00;357,27;462,00;7358,98;0,00;17155,42
416;50911,36;5512,72;19715,78;47895,96;0,00;6489,27;928,79;3613,35;961,98;95686,79;961,98;232677,98
417;1072,51;296,19;1059,05;539,86;0,00;0,00;0,00;0,00;0,00;97,08;0,00;3064,69
418;341,66;137,78;194,15;1396,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2069,80
419;4210,45;615,33;5238,46;5032,20;0,00;0,00;0,00;782,21;950,16;14374,05;0,00;31202,85
420;11462,23;1374,49;2043,98;16225,51;512,02;212,42;239,41;1167,93;961,98;33345,15;0,00;67545,10
421;6579,77;920,70;1452,52;5385,32;0,00;642,48;121,85;398,38;521,18;15226,81;0,00;31249,01
422;282,49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;282,49
423;6008,09;1128,92;13521,55;2720,42;0,00;460,05;0,00;523,82;174,61;14034,22;0,00;38571,67
424;38617,38;1535,60;12905,64;36620,24;95,86;3390,96;5238,46;4766,35;3453,64;50165,63;0,00;156789,77
425;25620,49;1896,66;11956,27;16152,07;0,00;1312,58;3566,54;2092,84;837,11;22136,17;0,00;85570,71
426;43122,48;5945,67;687,38;26623,55;31,20;2598,59;300,84;9501,81;513,16;2349,68;0,00;91674,34
427;996,44;0,00;0,00;1818,57;0,00;0,00;0,00;0,00;0,00;2161,26;0,00;4976,26
428;8851,29;898,13;4375,07;9673,28;0,00;542,94;1489,73;220,38;233,84;14236,19;0,00;40520,85
429;12703,91;1203,80;8842,29;11385,65;0,00;991,52;4369,22;1204,88;411,25;36911,98;0,00;78024,49
430;5724,96;565,13;2815,52;6820,48;0,00;607,69;3051,22;1379,58;642,07;8257,95;140,05;30004,65
431;2228,62;664,11;0,00;1482,62;0,00;0,00;3012,24;0,00;0,00;44,86;0,00;7432,46
432;61919,10;6481,43;14661,12;66711,17;0,00;6412,77;27301,91;5434,85;118,43;128889,63;3200,78;321131,19
433;19290,12;378,24;5127,58;9587,32;0,00;2893,38;8222,45;1792,89;0,00;33588,41;0,00;80880,41
434;8002,38;234,24;923,17;9037,77;0,00;733,78;850,50;0,00;0,00;16344,06;0,00;36125,90
435;8430,40;1234,32;3088,71;6204,79;0,00;1451,19;2996,02;669,56;838,14;18306,14;0,00;43219,27
436;36085,19;0,00;1856,51;36274,76;0,00;3960,06;6961,01;1647,28;74,79;8686,77;29,40;95575,76
437;17023,34;126,74;5103,52;17132,89;0,00;209,28;3747,74;1142,82;0,00;6275,52;0,00;50761,84
438;18281,51;404,80;4358,23;31158,17;195,30;2315,64;931,67;1036,47;347,10;13731,65;74,79;72835,34
439;38774,45;581,99;5745,55;64707,49;0,00;2126,35;6102,60;7983,11;2184,92;47322,95;0,00;175529,39
440;5250,04;583,25;2305,68;5477,54;0,00;266,34;76,49;476,30;0,00;6975,23;95,26;21506,12
441;48585,49;2817,53;11381,95;51443,51;30,60;6007,23;5028,05;4772,80;1151,42;59394,12;95,26;190707,96
442;20884,57;906,12;3627,00;25320,09;0,00;1217,06;3295,76;2608,93;1614,96;43762,28;1369,66;104606,43
443;10032,00;71,63;2099,89;6516,61;0,00;394,85;1309,92;385,30;225,44;3827,12;74,79;24937,54
444;5159,80;0,00;1083,97;14036,07;0,00;2094,93;4515,61;2839,85;161,60;12528,42;0,00;42420,24
