ZONA;Ônibus;Fretado;Automóvel;Táxi;Lotação;Metrô;Trem;Moto;Bicicleta;A pé;Outros;Total
109;18395;1748;24231;881;0;0;2389;0;0;20292;0;67937
110;46795;3380;40909;1031;0;209;1632;0;0;38080;70;132105
111;19380;2546;18050;1685;0;508;0;0;73;22497;193;64932
112;50586;4339;26795;5080;0;11364;156;317;1361;56924;219;157142
113;31872;2331;20427;745;0;9250;231;628;0;42509;423;108416
114;35101;2652;44536;5361;0;26223;210;772;390;44112;0;159357
115;25086;1740;31757;4572;315;4402;0;7;0;10267;141;78287
116;55028;4462;60040;3150;100;2433;0;423;200;12713;0;138548
117;61665;6956;68379;3798;783;804;217;831;805;14626;747;159610
118;6852;2053;17423;688;0;39;74;355;42;2021;3;29549
119;34609;6466;35818;2840;107;781;389;339;324;11099;170;92942
120;46275;3491;35880;1247;0;916;224;224;356;6788;0;95401
121;6740;745;20212;814;29;161;0;82;322;2437;25;31568
122;6845;1618;17098;817;0;0;178;183;105;3782;57;30683
123;20173;2436;21829;652;0;220;1296;62;170;16439;134;63412
124;9211;2228;16497;933;161;57;771;475;203;4849;170;35555
125;10397;1036;9848;795;307;199;297;0;101;4021;0;27001
126;60378;2091;39528;1556;737;2459;7104;10;69;48066;2526;164524
127;17063;971;7944;786;0;42;4799;1;289;6620;63;38580
128;34872;2178;36014;3757;6;735;2317;185;195;41014;331;121603
129;22348;510;14300;1074;0;345;275;0;279;28150;0;67281
130;14208;154;5567;474;77;1138;169;109;383;16321;0;38600
131;27974;760;10928;792;0;8518;1974;124;390;31507;0;82967
132;23579;2149;16476;2404;0;9869;1040;316;301;42080;0;98212
133;23512;2103;12753;501;0;5318;149;0;265;38576;102;83279
134;53515;3601;41932;2288;454;6083;834;441;1134;69120;2151;181551
135;29495;1332;19332;2564;0;818;7;7;102;13510;460;67626
136;19131;3397;5341;851;391;4;1044;0;166;20397;290;51012
137;21232;340;6284;793;0;105;1172;0;193;18860;0;48979
138;37009;1081;7835;243;0;338;0;0;112;31761;136;78515
139;24793;694;9041;1109;38;133;175;172;124;23557;453;60288
140;35664;1368;17585;1316;0;804;593;0;0;43417;639;101387
141;55414;1582;18740;2111;1932;224;1396;458;0;53195;1507;136560
142;44455;2624;25527;2424;0;1075;1610;0;224;45399;0;123337
143;20178;526;11384;727;0;577;209;0;196;22142;1024;56963
144;10970;1020;3194;872;96;0;0;0;0;19908;4;36064
145;26867;876;7734;861;0;161;924;1;0;28763;55;66241
146;46859;6123;10318;0;0;368;750;0;0;53388;0;117807
147;42294;3926;15551;0;0;0;8212;0;0;44272;145;114400
148;20991;1758;11435;260;0;265;2087;146;0;9586;0;46528
149;109820;5069;60768;2888;8;96;10013;307;1151;31500;0;221619
150;30482;2382;16913;405;0;0;1670;0;161;25169;340;77523
151;40800;8705;52215;1390;0;819;654;0;456;43335;445;148818
152;40931;30142;23628;0;0;1563;0;185;1956;37102;159;135666
153;38237;5292;27988;0;0;2314;2;0;345;53438;1196;128811
154;34939;5776;33127;3758;0;10269;204;246;823;43155;353;132651
155;35154;6599;33102;1356;287;2516;191;0;313;31271;44;110832
156;76434;6485;73203;3478;270;1051;371;266;133;23374;1014;186080
157;51715;6216;22463;1067;0;377;62;0;141;21587;571;104199
158;47255;4530;40941;2880;0;0;0;0;96;39699;0;135401
159;62502;5327;29222;2423;153;100;0;0;0;39271;205;139204
160;26139;3981;24627;517;84;33;1029;28;438;13455;48;70380
161;24532;525;12224;168;274;0;1944;0;360;19225;71;59323
162;24357;517;13424;1593;0;170;749;0;557;28529;18;69914
163;31263;1324;14534;816;0;239;6498;51;318;28963;124;84130
164;18571;849;7808;941;0;0;3092;0;0;19775;384;51420
165;23910;900;14215;695;0;369;765;0;48;28153;262;69316
166;62477;4378;18064;819;1596;933;913;80;171;82244;1590;173266
167;19236;589;9318;1218;173;3171;43;0;89;26745;93;60675
168;13877;730;1979;416;297;409;594;161;0;21912;0;40376
169;57568;3276;19765;2758;0;1064;0;0;1150;50842;1063;137485
170;10032;300;3299;264;0;335;0;0;523;17843;416;33012
171;17730;13034;8097;174;113;1093;751;0;716;24585;0;66292
172;22256;884;5578;780;410;186;8844;29;349;28111;0;67427
173;44460;2483;15095;865;179;302;4650;0;307;42388;0;110729
174;11754;2314;3320;524;0;0;660;0;0;15245;0;33818
175;34299;1859;6612;285;285;0;2342;0;16;32105;274;78076
176;18004;512;8775;747;403;3;3995;172;6;24002;413;57032
177;24976;8;5970;726;0;0;465;688;124;14530;0;47487
178;14304;798;3946;0;273;195;4701;283;77;18488;140;43204
179;22010;157;4308;123;351;53;10333;154;8;30625;223;68346
180;44404;6310;15437;495;455;0;13368;0;113;70512;176;151269
181;15368;3805;11219;537;67;0;3051;18;99;26229;219;60612
182;66097;5784;46590;1242;1579;30;3935;0;1127;54890;59;181333
183;29556;4415;33880;1540;0;92;2310;768;56;39825;205;112648
184;15493;418;17363;335;11;792;18;0;0;10107;89;44626
185;20687;2798;20116;441;0;2317;102;0;434;22916;76;69885
186;23892;3574;29755;945;0;6996;0;0;575;71658;291;137687
187;83072;6898;19303;978;36;1349;58;355;913;69456;0;182417
188;57971;11702;42498;2920;293;1112;584;722;895;46332;226;165256
189;134093;6562;35166;3204;0;42;241;141;904;25264;0;205617
190;96027;4139;26634;3214;17;703;67;22;676;51197;293;182988
191;126356;2188;12845;1567;1151;429;40;89;1003;82062;948;228679
192;21659;2105;7403;0;0;51;37;0;96;19943;0;51293
193;24255;453;4423;0;0;0;0;0;440;19273;0;48844
194;21713;703;5523;0;0;13;131;0;273;14444;91;42890
195;42124;3208;7010;0;0;0;2227;67;203;28499;0;83338
196;63771;3008;29978;1456;1318;345;2282;67;0;40288;0;142512
197;74094;1521;23745;1352;0;0;6448;113;0;15536;330;123140
198;65806;2580;15713;62;369;0;3725;0;0;43507;700;132461
199;40327;1845;12547;322;201;0;3200;245;842;34717;127;94372
200;33998;1335;4294;503;0;165;1269;20;854;29119;549;72105
201;6838;471;3757;2;0;0;3332;0;83;8628;0;23111
202;4112;1443;2842;434;75;60;1641;0;5;3373;0;13984
203;2466;512;1425;0;0;0;1458;0;0;4757;0;10617
204;1857;155;1002;52;0;0;0;37;115;4769;1;7988
205;6898;828;4513;0;0;244;7470;0;957;22152;55;43118
206;25729;637;6479;0;0;445;7259;0;235;50961;775;92522
207;36523;2094;3808;47;318;294;6683;0;327;41991;120;92204
208;4194;75;412;1;134;109;3631;0;134;11690;178;20558
209;8474;0;2071;108;0;165;3822;56;564;15295;0;30555
210;7743;134;3968;4;0;0;3502;0;496;12315;0;28161
211;6486;126;2413;0;67;139;1996;128;234;12573;13;24174
212;10930;1494;7160;620;121;13;895;0;269;16629;0;38131
213;5007;940;2579;196;40;250;1297;0;93;6732;0;17135
214;38214;6374;11211;1664;10;0;4476;0;220;48641;0;110809
215;89617;8097;88042;1388;219;588;526;527;13;66018;1196;256231
216;13640;1135;7463;0;0;55;279;3;193;16069;0;38837
217;28814;7163;30798;495;0;505;492;0;280;32705;95;101346
218;16782;34023;17532;346;2;413;172;0;156;15406;10;84841
219;14963;1549;4451;0;0;114;0;0;495;16617;0;38189
220;121492;5378;47334;773;0;131;0;301;3165;65554;1;244129
221;2984;112;1695;25;0;0;0;0;178;4401;149;9543
222;5947;670;5128;6;0;0;72;165;82;5265;116;17450
223;32757;4277;7920;366;0;0;41;423;0;25918;128;71829
224;26614;10634;37932;1965;0;0;220;175;893;58736;91;137260
225;12359;312;989;0;0;0;2580;0;0;6265;0;22505
226;38017;378;8319;20;0;0;21245;0;0;41705;215;109898
227;10565;1207;5163;91;207;0;5146;0;55;15634;362;38430
228;3484;924;1170;0;138;0;5142;0;16;9972;0;20845
229;2122;354;3749;720;0;0;9084;59;589;18619;2;35297
230;8045;807;2150;32;0;0;2454;0;0;7563;716;21767
231;1789;274;1138;233;0;199;3718;0;130;8714;1;16197
232;2413;275;756;94;0;0;540;10;0;1560;14;5664
233;2307;146;1883;276;0;0;6922;0;130;3672;5;15341
234;3041;74;2601;527;83;0;5031;543;118;5578;102;17697
235;6327;800;7976;179;0;4;2639;0;1283;14398;309;33915
236;4622;607;2372;1;0;0;561;0;647;5592;190;14592
237;52880;4547;37971;913;256;206;7469;170;3507;70599;344;178863
238;9797;510;4411;30;0;172;357;0;709;13726;0;29713
239;3030;106;326;0;0;11;310;0;168;2959;5;6916
240;23683;3804;7576;260;48;93;4029;376;4625;37243;629;82366
241;3672;540;1314;45;0;0;253;63;278;7125;144;13432
242;1573;3008;1022;0;31;0;1603;0;0;3955;130;11322
243;14126;878;4985;478;6;58;0;0;430;17408;471;38839
