ZONA;Ônibus;Fretado;Automóvel;Táxi;Lotação;Metrô;Trem;Moto;Bicicleta;A pé;Outros;Total
1;260898;1906;42925;17999;1700;44386;7515;137;98;53830;901;432295
2;10370;453;7527;1466;51;677;4710;31;0;5480;51;30817
3;29383;152;11034;1505;207;993;5572;66;9;8525;157;57604
4;33102;559;14825;806;294;247;5906;0;0;12311;99;68149
5;17962;187;8592;2397;0;676;382;0;58;9796;254;40305
6;14505;215;4294;1778;0;2323;120;0;61;12390;0;35686
7;27207;1000;11194;4707;0;10545;1745;71;0;12551;0;69018
8;54905;2127;28051;8554;0;4364;818;650;143;25669;0;125282
9;136892;1814;23529;15627;1111;20905;6671;109;179;43862;65;250762
10;80611;2153;30391;9442;1362;18571;13831;0;97;33489;0;189947
11;17302;70;8377;1804;11;648;6894;0;8;5374;0;40488
12;27349;1682;13023;2139;113;496;5276;0;186;13790;0;64053
13;24604;159;7465;723;288;484;4931;0;0;10208;114;48976
14;41268;2072;32327;4120;412;914;6039;371;21;19640;285;107468
15;39283;1654;40081;4107;0;0;3738;0;0;22586;311;111761
16;37493;714;27465;5278;3;1236;867;265;58;13075;105;86560
17;16976;2074;18005;4210;57;3778;136;0;0;10436;0;55671
18;28300;330;18367;3571;289;10620;1341;184;7;18414;0;81422
19;14732;0;9017;2462;49;2827;217;0;0;5125;0;34427
20;7317;160;6008;760;0;3688;330;0;8;3163;0;21433
21;9079;337;11058;2988;327;3111;679;16;0;5274;22;32892
22;86930;4313;48394;10522;774;7342;637;470;40;24597;527;184546
23;69048;2585;44907;12664;195;5419;963;1158;200;21192;26;158357
24;105167;2297;48837;17612;1275;9806;5359;672;255;34609;0;225889
25;25077;1819;20071;3366;264;172;479;62;119;15851;0;67280
26;59987;852;20704;6273;354;5905;5685;0;0;22657;625;123041
27;23097;312;11527;2937;404;8300;7916;152;82;11403;0;66131
28;24303;771;12574;2283;6;17855;3893;197;0;13338;0;75219
29;19243;449;15543;2178;11;3295;3889;69;0;20231;133;65042
30;11170;101;11771;1185;0;803;1211;0;0;10493;303;37038
31;27979;389;8156;917;0;857;989;0;68;6191;0;45546
32;32211;1954;16361;1323;298;336;3527;0;123;9085;0;65218
33;21419;128;12880;1832;0;23;2577;0;0;8930;1;47790
34;27563;1845;31611;4424;0;547;1054;0;0;22256;591;89891
35;32144;3724;25049;2251;0;98;585;0;0;28966;68;92886
36;61655;872;38448;5879;0;1466;3924;12;584;23046;239;136125
37;16578;1168;22051;2560;0;109;1316;0;200;10526;303;54812
38;7061;368;10393;2654;0;801;372;0;55;3416;0;25120
39;10111;406;10495;2395;109;687;190;0;55;3789;0;28236
40;17965;2295;17282;1670;109;5269;61;261;130;8601;31;53672
41;28213;826;26976;3701;3;5544;490;438;0;12052;30;78273
42;56734;3526;59452;10828;0;752;546;305;0;7802;0;139945
43;35451;5900;47365;8007;0;1485;2008;671;41;11692;51;112669
44;42623;3242;43899;9203;0;2827;1315;1249;150;14465;176;119149
45;21649;2138;26460;3216;198;705;687;357;238;11507;180;67334
46;24281;579;22788;5083;201;474;1442;225;49;10902;0;66024
47;12524;485;9602;936;0;3474;2965;3;86;7297;3;37374
48;23862;1135;17235;1024;0;4375;392;151;0;4160;217;52553
49;23453;873;19048;1548;0;4514;581;278;62;21194;738;72288
50;33710;950;26399;4001;51;441;205;137;74;33433;225;99624
51;15086;1157;13293;755;0;381;222;0;148;13125;841;45008
52;34072;553;13388;1417;0;108;113;0;0;12072;0;61723
53;14325;1236;18107;968;96;0;1882;0;0;15386;290;52289
54;9003;677;10967;1089;0;0;141;0;0;18288;79;40246
55;39908;5483;19465;1595;0;0;366;94;553;48370;142;115975
56;39646;5925;23484;536;197;205;3634;0;312;50999;207;125146
57;24149;1422;17999;1151;0;107;1098;281;194;21490;0;67893
58;58606;5200;44908;3340;0;2641;1161;191;268;41029;91;157435
59;42938;782;63159;7103;748;21315;276;1116;513;45165;97;183210
60;34270;2500;51339;4676;100;18449;761;984;0;15135;0;128213
61;9365;1902;13649;2713;0;246;0;147;1;1648;0;29671
62;77759;2341;79385;6506;412;1066;702;638;359;26811;500;196479
63;6371;547;21337;1309;108;203;48;21;68;2304;80;32396
64;40097;1827;34791;3727;98;340;959;376;0;19389;0;101604
65;17164;3339;25404;1653;0;315;1136;36;0;5507;0;54553
66;64554;4967;71187;12455;0;1179;4814;47;307;14905;350;174764
67;26163;2544;18477;856;0;497;6956;23;22;7483;160;63181
68;31842;1460;29101;1835;104;1456;350;293;253;27489;8;94192
69;36912;4101;31730;3169;0;8546;235;0;210;17055;250;102208
70;22502;1869;33059;2235;250;6403;257;254;1;16087;0;82917
71;19229;1379;27748;1693;317;7091;185;11;0;35114;120;92887
72;32083;1203;20064;2543;0;420;43;0;519;35258;392;92525
73;32858;266;22689;760;0;594;1722;0;259;13235;388;72771
74;25122;351;25396;1282;0;301;917;0;225;23549;665;77807
75;15422;959;9260;405;0;78;99;141;0;21416;58;47838
76;25956;721;5708;1000;0;31;0;178;149;22986;142;56870
77;39785;2036;17487;373;0;283;642;0;287;32966;143;94001
78;30712;3090;7569;2;0;0;520;0;1;25055;0;66949
79;19060;1971;20327;5;400;76;3603;17;19;31680;135;77291
80;68335;5282;47980;2109;3;0;11733;8;244;30820;120;166634
81;24366;3388;28372;1742;0;1527;2775;118;183;33760;506;96737
82;29690;4433;52543;4895;0;8624;0;0;410;39026;0;139621
83;28930;2255;60482;8038;12;16705;379;617;1387;30111;0;148916
84;17303;3408;33971;1107;0;2533;179;173;332;9472;353;68831
85;65764;3588;108314;8292;417;3089;472;981;238;16060;89;207304
86;26889;2026;41858;3951;0;210;270;412;0;5238;0;80853
87;80775;3699;61358;8212;1090;620;726;1126;158;23644;97;181506
88;15112;2746;16921;1687;0;155;132;264;186;12319;0;49524
89;32537;3871;32570;2931;307;1257;847;110;1112;15347;0;90890
90;107249;1548;48976;4184;305;859;16794;785;349;28057;638;209744
91;16689;2891;17118;1686;0;245;4353;43;146;4846;1319;49337
92;26490;1357;27660;4190;351;319;745;0;448;36140;195;97894
93;15295;680;8086;778;185;969;29;0;108;18325;0;44455
94;24995;2949;31684;5260;0;7486;166;666;0;25094;454;98753
95;10324;1101;12349;781;0;5087;296;221;269;12754;89;43270
96;34831;2458;38111;3598;539;11010;153;319;843;43686;9;135557
97;34385;1183;35923;5253;22;18677;518;0;159;70753;0;166872
98;45746;4866;24960;3559;2190;14969;1010;0;0;92642;494;190438
99;29586;1743;12754;744;0;4018;0;0;2338;58367;0;109549
100;30741;6164;21980;796;119;479;494;1;510;24632;225;86141
101;15306;193;6616;645;0;115;466;0;67;13264;0;36673
102;61305;691;18140;4074;0;289;433;227;0;27409;467;113035
103;17870;1577;18828;1432;0;0;981;0;76;29944;546;71254
104;29884;1287;17042;825;324;0;234;141;0;23853;1967;75556
105;31141;1324;13549;1266;0;0;13;0;196;32108;1;79599
106;27353;2124;10911;940;0;9;1225;17;0;31167;273;74019
107;17965;1047;22058;903;197;109;2252;14;658;11638;5;56846
108;29611;1919;24722;1172;0;12;2871;0;971;35416;0;96693
