ZONA;Ônibus;Trólebus;Fretado;Escolar;Automóvel;Táxi;Lotação;Metrô;Trem;Moto;Bicicleta;A pé;Caminhão;Outros;Total
141;15181.00; -   ;2193.00;1055.00;12422.00; -   ;383.00; -   ;4029.00;633.00;1076.00;37494.00; -   ; -   ;74464.00
142;87079.00; -   ;11336.00;4801.00;68601.00; -   ;228.00;8971.00;20625.00;2293.00;4031.00;164201.00;756.00; -   ;372922.00
143;5029.00; -   ;1609.00; -   ;2250.00; -   ; -   ;72.00;176.00; -   ; -   ;6877.00;144.00; -   ;16157.00
144;5257.00; -   ;5571.00; -   ;6691.00; -   ; -   ;116.00;761.00;165.00;536.00;6736.00;92.00; -   ;25925.00
145;908.00; -   ;92.00; -   ;242.00; -   ; -   ; -   ;46.00;46.00;62.00;2547.00; -   ; -   ;3943.00
146;1029.00; -   ;142.00; -   ;3577.00;71.00; -   ;53.00; -   ;357.00;1528.00;12052.00;297.00; -   ;19105.00
147;2050.00; -   ;2148.00; -   ;1966.00; -   ; -   ; -   ; -   ;82.00;1745.00;15390.00;584.00;95.00;24059.00
148;1013.00; -   ;207.00; -   ;4291.00; -   ; -   ;114.00; -   ;208.00;561.00;12367.00;1959.00;95.00;20815.00
149;33919.00; -   ;18187.00;1367.00;14003.00;301.00;66.00;1584.00;36767.00;1350.00;1447.00;146516.00;2046.00; -   ;257553.00
150;22552.00; -   ;5619.00;1574.00;23293.00; -   ;144.00;1091.00;8726.00;1210.00;568.00;32270.00;89.00; -   ;97134.00
151;7542.00;124.00;3768.00;330.00;5688.00; -   ;97.00;409.00;3929.00;280.00;498.00;20006.00;135.00;160.00;42967.00
152;26191.00; -   ;6524.00;1957.00;18402.00; -   ; -   ;1112.00;9655.00; -   ;1971.00;57294.00;378.00; -   ;123483.00
153;3517.00; -   ;1373.00; -   ;1411.00; -   ; -   ;315.00;4967.00; -   ; -   ;16420.00; -   ; -   ;28003.00
154;33955.00; -   ;7210.00;2446.00;31214.00;312.00;180.00;1329.00;7119.00;1414.00;1074.00;55725.00;174.00;122.00;142273.00
155;36522.00; -   ;3803.00;1420.00;40656.00; -   ; -   ;1228.00;7648.00;882.00;528.00;64985.00;588.00;153.00;158412.00
156;27089.00;271.00;3465.00;2502.00;55104.00;496.00; -   ;775.00;5688.00;801.00;454.00;52983.00;1461.00;407.00;151496.00
157;89154.00; -   ;7111.00;3446.00;88678.00;1709.00;76.00;2394.00;20950.00;3912.00;262.00;51189.00;1933.00;174.00;270987.00
158;62144.00; -   ;18079.00;9524.00;104911.00;735.00; -   ;1515.00;6311.00;979.00;491.00;105326.00;1880.00;849.00;312744.00
159;41816.00; -   ;9097.00;2234.00;29836.00;1487.00;270.00;1234.00;2840.00;1032.00;246.00;90093.00;1503.00;82.00;181770.00
160;49126.00;136.00;5383.00;791.00;59590.00;222.00; -   ;2681.00;15231.00;1327.00;1224.00;74122.00;141.00;849.00;210823.00
161;30820.00;113.00;3213.00;3375.00;68691.00;89.00;113.00;980.00;3117.00;1327.00;857.00;84311.00;1527.00; -   ;198534.00
162;72045.00;113.00;36118.00;11614.00;101300.00;115.00; -   ;7919.00;1456.00;3393.00;735.00;128794.00;857.00;417.00;364875.00
163;32011.00;150.00;6239.00;2587.00;60538.00; -   ; -   ;910.00;868.00;1145.00;837.00;50647.00;965.00;237.00;157133.00
164;92463.00; -   ;10037.00;4357.00;152905.00;48.00; -   ;958.00;2222.00;2317.00;463.00;113730.00;2393.00;262.00;382154.00
165;58513.00; -   ;41713.00;6927.00;75564.00; -   ;270.00;2937.00;1267.00;947.00;732.00;94567.00;2371.00;1079.00;286888.00
166;6440.00; -   ;717.00; -   ;3868.00; -   ; -   ;68.00; -   ;121.00;145.00;13772.00;339.00; -   ;25470.00
167;28279.00; -   ;6110.00;168.00;23185.00;644.00;113.00;2013.00;179.00;2047.00;1206.00;63731.00;1559.00;221.00;129456.00
168;72766.00; -   ;6036.00;1572.00;67938.00;806.00; -   ;10734.00; -   ;1337.00;1580.00;186810.00;1219.00;976.00;351774.00
169;12012.00; -   ;1056.00;134.00;2934.00; -   ; -   ;3140.00;177.00; -   ;262.00;28231.00;458.00;196.00;48602.00
170;6084.00; -   ;619.00;120.00;3393.00; -   ; -   ;261.00; -   ;105.00;471.00;18027.00;607.00; -   ;29685.00
171;5430.00; -   ;174.00; -   ;1994.00; -   ; -   ;58.00; -   ; -   ; -   ;11806.00; -   ;83.00;19545.00
172;68276.00; -   ;5009.00;1431.00;28193.00; -   ;166.00;316.00;1460.00;2236.00;1039.00;98790.00;609.00;121.00;207646.00
173;51703.00; -   ;2124.00;232.00;13264.00;244.00;100.00; -   ; -   ;708.00; -   ;75649.00;194.00; -   ;144218.00
174;22217.00;1236.00;2855.00; -   ;19321.00;304.00; -   ;752.00;169.00;1138.00;1133.00;66540.00;1082.00;593.00;117340.00
175;1965.00; -   ;518.00; -   ;1288.00; -   ; -   ; -   ; -   ; -   ; -   ;5939.00;341.00; -   ;10050.00
176;3094.00; -   ; -   ; -   ;4452.00; -   ; -   ;109.00; -   ; -   ;319.00;20394.00;148.00;253.00;28768.00
177;11562.00; -   ;2724.00;1289.00;8967.00;56.00;284.00; -   ;146.00;479.00;100.00;19031.00;767.00; -   ;45404.00
178;22961.00; -   ;4245.00;1886.00;12842.00;154.00; -   ;185.00;135.00;329.00;154.00;33335.00;428.00;313.00;76968.00
179;166.00; -   ; -   ; -   ;71.00; -   ; -   ; -   ; -   ; -   ; -   ;331.00; -   ; -   ;568.00
180;1749.00; -   ;76.00;17.00;886.00; -   ; -   ;17.00; -   ;171.00;165.00;3998.00;84.00;84.00;7247.00
181;2705.00; -   ;501.00; -   ;4719.00; -   ; -   ; -   ; -   ;449.00;518.00;10627.00;96.00; -   ;19615.00
182;60528.00; -   ;2524.00;5452.00;66608.00;330.00;1240.00;1762.00;6371.00;2932.00;965.00;77623.00;1488.00;476.00;228300.00
183;64154.00; -   ;1330.00;2138.00;35144.00;134.00;118.00;378.00;9697.00;738.00;257.00;36427.00;593.00; -   ;151106.00
184;30354.00; -   ;1838.00;1807.00;28848.00;226.00;222.00;1992.00;5901.00;1143.00;1139.00;60745.00;1679.00;272.00;136168.00
185;80734.00;482.00;5936.00;5072.00;57535.00;133.00;199.00;1070.00;17517.00;2557.00;1323.00;162918.00;123.00;933.00;336530.00
186;46564.00; -   ;4735.00;2081.00;23241.00; -   ; -   ;552.00;2692.00;886.00;731.00;54280.00;886.00;793.00;137443.00
187;6733.00; -   ;460.00; -   ;3381.00; -   ; -   ;318.00;1580.00; -   ;105.00;14572.00;197.00; -   ;27346.00
188;10804.00; -   ;1589.00;202.00;2234.00; -   ; -   ;455.00;4751.00; -   ; -   ;30915.00; -   ; -   ;50950.00
189;60456.00; -   ;3017.00;1435.00;24259.00; -   ;310.00;2428.00;33601.00;552.00;570.00;101873.00;239.00;314.00;229054.00
190;17368.00; -   ;11298.00; -   ;29353.00; -   ;180.00;772.00;4477.00;310.00;162.00;10037.00;417.00;79.00;74453.00
191;21728.00; -   ;5369.00;1589.00;19317.00;88.00;295.00;469.00;16891.00;1112.00;562.00;66085.00;1223.00;845.00;135570.00
192;14315.00; -   ;2844.00;458.00;7419.00; -   ; -   ;623.00;11573.00;164.00;410.00;43235.00;301.00;155.00;81496.00
193;12389.00; -   ;1775.00;293.00;10125.00; -   ; -   ;524.00;22098.00;955.00;551.00;53522.00; -   ;229.00;102463.00
194;3982.00; -   ;1719.00;254.00;13895.00;54.00; -   ; -   ;582.00; -   ;205.00;20947.00;281.00;174.00;42093.00
195;2197.00; -   ;742.00;930.00;3077.00;66.00; -   ;83.00;250.00;133.00; -   ;2379.00;235.00; -   ;10091.00
196;11870.00; -   ; -   ;227.00;26218.00;696.00; -   ;817.00;1060.00;707.00;191.00;6738.00;128.00; -   ;48651.00
