ZONA;Ônibus;Trólebus;Fretado;Escolar;Automóvel;Táxi;Lotação;Metrô;Trem;Moto;Bicicleta;A pé;Caminhão;Outros;Total
245;1537.00; -   ;689.00; -   ;231.00; -   ; -   ; -   ;265.00;121.00; -   ;858.00; -   ; -   ;3702.00
246;505.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;592.00; -   ; -   ;1098.00
247;1869.00; -   ; -   ; -   ;1027.00; -   ; -   ; -   ; -   ; -   ; -   ;3490.00; -   ; -   ;6385.00
248;377.00; -   ; -   ; -   ;354.00; -   ; -   ; -   ; -   ; -   ;54.00;107.00; -   ; -   ;892.00
249;141.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;141.00
250;580.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ;185.00; -   ; -   ;66.00; -   ; -   ;831.00
251;1571.00; -   ;868.00; -   ;1383.00; -   ; -   ; -   ;251.00; -   ; -   ;548.00; -   ; -   ;4620.00
252; -   ; -   ; -   ; -   ;667.00; -   ; -   ; -   ;217.00; -   ; -   ;82.00; -   ;82.00;1048.00
253; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;190.00; -   ; -   ;190.00
254; -   ; -   ; -   ; -   ;169.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;169.00
