ZONA;Coletivo;Individual;Motorizado;Não Motorizado;Total
1;314349,75;62562,38;376912,13;55558,78;432470,91
2;17110,07;7932,99;25043,06;5290,56;30333,62
3;37169,34;14026;51195,34;7467,39;58662,73
4;39136,25;17400,61;56536,86;12866,79;69403,65
5;18749,36;11822,92;30572,28;9597,48;40169,76
6;15691,07;5228,76;20919,83;12926,85;33846,68
7;40119,32;17970,64;58089,96;12573,03;70662,99
8;62743,61;40926,54;103670,15;23358,3;127028,45
9;167828,7;40353,23;208181,93;45290,87;253472,8
10;117586,6;42311,86;159898,46;30889,27;190787,73
11;26498,39;8954,71;35453,1;4909,41;40362,51
12;35683,72;14553,73;50237,45;14087,47;64324,92
13;30339;8069,49;38408,49;10227,4;48635,89
14;49065,4;37178,35;86243,75;19565,3;105809,05
15;42853,49;43323,11;86176,6;22636,04;108812,64
16;41421,96;32145,95;73567,91;13223,43;86791,34
17;23914,08;22322,47;46236,55;9884,2;56120,75
18;39669,28;22839,62;62508,9;18685,33;81194,23
19;17614,38;11528,67;29143,05;4400,62;33543,67
20;10761,92;7140,81;17902,73;3345,27;21248
21;13335,52;15274,65;28610,17;5201,66;33811,83
22;102638,53;56810,5;159449,03;27065,25;186514,28
23;77095,5;58847,89;135943,39;22035,32;157978,71
24;121492,72;69829,67;191322,39;36538,51;227860,9
25;26862,43;23624,91;50487,34;15837,83;66325,17
26;73913,45;33727,45;107640,9;24027,74;131668,64
27;41114,47;13672,84;54787,31;11969,35;66756,66
28;45275,26;16060,64;61335,9;11743,88;73079,78
29;27851,26;16373,6;44224,86;20594,15;64819,01
30;14207,19;13392,6;27599,79;9612,99;37212,78
31;30411,95;8948,36;39360,31;6251,62;45611,93
32;39102,64;17186,75;56289,39;10381,76;66671,15
33;23272,99;15529,29;38802,28;8769,19;47571,47
34;30134,64;35560,99;65695,63;22251,66;87947,29
35;37834,51;26185,32;64019,83;28751,13;92770,96
36;68417,35;43638,45;112055,8;23786,62;135842,42
37;20068,08;24329,12;44397,2;9858,03;54255,23
38;8594,56;12354,51;20949,07;4059,63;25008,7
39;11693,74;12471,1;24164,84;3527,82;27692,66
40;25944,15;18086,55;44030,7;8648,98;52679,68
41;36853,78;30249,75;67103,53;12362,79;79466,32
42;58539,01;70998,31;129537,32;7451,17;136988,49
43;41553,42;58332,75;99886,17;12259,72;112145,89
44;50520,11;52531,9;103052,01;14463,92;117515,93
45;25914,09;31503,78;57417,87;11738,76;69156,63
46;31020,23;23853,74;54873,97;11327,58;66201,55
47;17625,04;10561,7;28186,74;8429,67;36616,41
48;31907,86;16867,24;48775,1;4170,87;52945,97
49;28514,15;20611,59;49125,74;21822,99;70948,73
50;35939,21;28746,25;64685,46;34571,02;99256,48
51;17299,2;14340,67;31639,87;13358,99;44998,86
52;35728,17;14729,11;50457,28;11878,36;62335,64
53;18761,92;18607,27;37369,19;14988,37;52357,56
54;10364,59;11071,36;21435,95;18624,47;40060,42
55;48537,17;20002,93;68540,1;49048,48;117588,58
56;47711,11;25244,33;72955,44;51421,07;124376,51
57;26432,3;18755,01;45187,31;21434,02;66621,33
58;67598,47;49568,42;117166,89;40447,49;157614,38
59;73092,16;69563,96;142656,12;45426,09;188082,21
60;61409,34;57071,38;118480,72;15564,16;134044,88
61;11892,36;15619,95;27512,31;1547,87;29060,18
62;80961,56;88934,97;169896,53;28096,7;197993,23
63;8704,19;23848,83;32553,02;1937,22;34490,24
64;43473,26;42191,95;85665,21;18974,2;104639,41
65;22057,34;31039,65;53096,99;5459,8;58556,79
66;77703,38;83679,01;161382,39;14590,38;175972,77
67;33550,65;20512,13;54062,78;9138,87;63201,65
68;32954,03;30496,3;63450,33;28475,19;91925,52
69;49380,53;36505,09;85885,62;16584,56;102470,18
70;28868,92;36769,43;65638,35;16723,12;82361,47
71;27919,55;31504,22;59423,77;32958,48;92382,25
72;33422,09;23790,47;57212,56;34727,9;91940,46
73;35187,47;24227,47;59414,94;13695,54;73110,48
74;25352,24;27528,7;52880,94;23648,37;76529,31
75;15725,04;10159,71;25884,75;20896,85;46781,6
76;26912,56;6590,66;33503,22;23145,27;56648,49
77;45824,44;16701,38;62525,82;33579,14;96104,96
78;33270,01;7822,96;41092,97;24962,33;66055,3
79;24629,61;21035,13;45664,74;31568,81;77233,55
80;84106,72;50245,88;134352,6;31164,73;165517,33
81;34614,27;30560,98;65175,25;33459,97;98635,22
82;42400,1;60042,66;102442,76;39233,72;141676,48
83;49382,67;68355,59;117738,26;30191,95;147930,21
84;24516,59;34763,76;59280,35;10588,94;69869,29
85;67722,31;119398,73;187121,04;16523,73;203644,77
86;27951,31;46068,54;74019,85;5189,01;79208,86
87;86245,32;70240,09;156485,41;22548,6;179034,01
88;17586,31;17964,01;35550,32;12728,82;48279,14
89;36785,84;37331,45;74117,29;17113,86;91231,15
90;125541,53;53658,46;179199,99;29794,82;208994,81
91;25606,27;19254,2;44860,47;4596,2;49456,67
92;30269,44;30180,61;60450,05;36954,26;97404,31
93;15965,95;9315,83;25281,78;18978,8;44260,58
94;36009,78;35451,66;71461,44;25998,03;97459,47
95;18553,41;12405,91;30959,32;12057,82;43017,14
96;50923,21;41275,71;92198,92;44997,4;137196,32
97;55812,64;38753,74;94566,38;71444,37;166010,75
