ZONA; Metrô ; Trem ; Ônibus ; Fretado ; Escolar ; Automóvel ; Táxi ; Moto ; Bicicleta ; A pé ; Outros ; Total 
 251 ;5683,38;0,00;7256,01;0,00;2477,36;14563,20;1472,42;1235,53;0,00;6744,84;0,00;39432,75
 252 ;6575,61;0,00;6705,53;0,00;2259,47;10861,85;105,78;339,00;0,00;17743,53;0,00;44590,78
 253 ;1251,70;2653,95;2733,95;0,00;260,03;2238,70;167,67;755,45;169,45;2908,33;0,00;13139,23
 254 ;22239,14;879,92;22860,26;0,00;2684,29;32323,59;724,25;4754,54;34,46;18888,29;354,92;105743,65
 255 ;4120,06;3553,00;14873,58;814,35;2484,12;61784,99;0,00;103,48;3507,54;37966,69;0,00;129207,80
 256 ;4686,20;169,39;11944,94;260,87;2133,55;13295,98;521,74;1603,04;0,00;7915,73;0,00;42531,43
 257 ;5783,47;0,00;12225,94;0,00;1369,96;22347,68;0,00;318,77;0,00;18050,40;0,00;60096,22
 258 ;8148,28;369,09;27778,52;0,00;6558,75;25311,09;0,00;1384,86;1009,04;23442,93;0,00;94002,54
 259 ;1855,80;0,00;10957,12;208,46;3419,41;11096,01;0,00;942,06;314,08;19648,31;138,88;48580,13
 260 ;9159,16;0,00;9680,63;0,00;2546,56;8767,59;0,00;778,79;1076,57;24635,67;0,00;56644,98
 261 ;2651,11;204,10;28002,65;0,00;4176,28;24614,71;252,84;1908,63;777,65;21860,76;0,00;84448,73
 262 ;7041,81;362,37;23973,23;1644,81;1657,69;28226,45;827,52;1352,45;503,93;42074,90;6687,27;114352,43
 263 ;365,37;0,00;35291,64;286,62;6398,46;22219,53;0,00;1847,80;0,00;48969,25;303,38;115682,05
 264 ;7225,84;0,00;35787,47;0,00;3343,38;26601,65;0,00;851,38;1276,34;34287,40;0,00;109373,47
 265 ;6427,69;324,18;22277,65;0,00;1749,62;24973,64;1814,84;2930,20;0,00;39690,69;0,00;100188,50
 266 ;849,57;0,00;4264,40;0,00;1123,34;5126,33;82,69;2610,78;0,00;7928,60;0,00;21985,71
 267 ;1612,17;1126,31;13604,30;690,50;3285,25;15802,72;0,00;549,08;221,57;17952,53;0,00;54844,44
 268 ;1392,85;0,00;9646,11;0,00;1860,48;15512,99;1166,47;1449,06;748,06;8008,73;0,00;39784,76
 269 ;3670,24;82,43;17316,77;747,88;1152,36;23031,44;2009,52;1440,51;970,02;15916,26;0,00;66337,42
 270 ;2270,26;0,00;4941,15;152,75;847,12;12503,72;494,08;945,67;0,00;5318,48;0,00;27473,23
 271 ;2525,80;0,00;4505,85;539,71;0,00;9806,75;1660,89;1579,70;0,00;1144,77;639,02;22402,49
 272 ;3201,04;0,00;7368,13;38,32;2601,52;19242,17;1077,03;403,71;113,77;7813,79;0,00;41859,49
 273 ;8751,82;32,03;25694,83;0,00;7291,81;40708,36;552,02;2307,22;0,00;34084,25;436,16;119858,51
 274 ;25191,59;0,00;19719,66;9,51;3501,20;41229,75;2269,89;27,13;0,00;42543,62;0,00;134492,35
 275 ;20971,76;0,00;15438,28;159,06;3306,52;32121,65;857,38;2159,62;0,00;37122,85;274,41;112411,53
 276 ;15715,07;0,00;31193,91;0,00;6683,51;58100,09;195,43;5042,92;0,00;43409,73;0,00;160340,66
 277 ;4668,55;496,30;24672,99;0,00;4953,59;42600,16;0,00;2463,25;66,96;44454,40;0,00;124376,19
 278 ;10958,88;0,00;48474,58;0,00;12628,54;36743,47;1426,99;7966,83;1023,50;90601,44;0,00;209824,24
 279 ;4924,22;1690,78;26397,03;0,00;10679,65;9037,82;121,44;2784,77;0,00;45270,36;861,81;101767,87
 280 ;5864,81;5544,88;26094,53;1625,62;976,48;22389,67;142,58;2432,75;339,19;13418,15;0,00;78828,66
 281 ;2227,84;2439,31;20757,50;519,66;6292,47;33879,31;2063,38;2520,92;0,00;14531,55;0,00;85231,95
 282 ;3539,83;60,80;21249,45;0,00;2001,68;27193,09;1651,17;6236,91;0,00;23930,29;861,81;86725,05
 283 ;960,42;929,35;5834,88;0,00;321,85;4824,45;178,69;303,07;132,38;5529,86;189,33;19204,28
 284 ;2177,24;2918,33;22662,99;666,73;8867,05;17814,05;347,53;706,73;0,00;26147,44;0,00;82308,09
 285 ;5626,91;3196,89;28609,61;929,82;11095,47;38535,15;1281,97;6125,18;0,00;74639,70;0,00;170040,70
 286 ;2626,48;1964,54;19610,84;138,59;1153,39;14778,18;554,92;4461,44;378,79;4842,13;0,00;50509,30
 287 ;1376,69;1115,40;13689,55;1079,69;3090,49;27436,79;836,23;1343,41;2682,75;16968,11;0,00;69619,12
 288 ;1026,02;1015,80;20120,31;0,00;4371,71;8777,18;77,39;1894,20;244,54;12508,01;0,00;50035,15
 289 ;2543,61;6905,45;22891,95;539,84;7951,23;20651,64;1991,48;823,73;796,31;29950,56;639,02;95684,81
 290 ;4618,33;7298,57;16835,89;0,00;5891,44;10847,89;0,00;1232,07;0,00;40837,31;2515,99;90077,50
 291 ;4816,96;11376,84;24517,24;785,14;11747,17;42717,81;0,00;1885,04;0,00;34800,29;0,00;132646,49
 292 ;4536,98;3660,02;15255,49;0,00;8178,60;25803,32;2848,01;3771,35;0,00;34201,18;0,00;98254,95
 293 ;8039,68;10028,63;33485,49;0,00;14922,03;18734,42;2792,89;3467,46;1710,22;49696,26;2515,99;145393,08
 294 ;6902,70;15271,23;35253,07;929,82;13621,96;9161,85;0,00;2741,05;0,00;84813,24;1386,09;170081,02
 295 ;5282,79;10898,39;45543,22;0,00;13319,95;30129,35;0,00;5880,68;1777,93;56546,49;0,00;169378,81
 296 ;218,81;37,27;1502,85;0,00;2355,36;2765,30;0,00;142,31;742,16;1208,74;0,00;8972,79
 297 ;24,77;108,53;1182,48;308,37;315,51;1726,54;0,00;0,00;130,24;536,38;0,00;4332,82
 298 ;3932,01;14332,10;49507,73;564,69;26289,22;30392,49;939,27;2498,51;2072,65;89038,25;622,77;220189,68
 299 ;385,56;326,35;3548,27;0,00;884,10;1980,46;278,03;297,21;0,00;2430,79;0,00;10130,78
 300 ;25251,28;24280,73;53875,91;842,40;3750,03;90540,78;3818,91;6528,40;1488,18;59517,45;532,56;270426,64
 301 ;3857,32;363,66;15093,56;0,00;1879,58;21462,25;2057,50;695,28;78,73;4431,44;0,00;49919,31
 302 ;15750,73;1435,10;46773,05;749,37;2184,90;32224,57;853,47;1509,40;362,43;18288,91;0,00;120131,94
 303 ;16616,20;7719,58;59101,10;821,20;2462,67;23707,05;591,61;6445,92;264,78;13511,16;644,42;131885,70
 304 ;11901,39;458,99;42329,69;0,00;8038,69;28966,06;1202,11;5691,25;848,28;64606,59;523,44;164566,51
 305 ;5327,42;2473,16;69374,58;0,00;7492,53;25480,92;2091,47;5035,50;0,00;89001,52;0,00;206277,10
