ZONA; Metrô ; Trem ; Ônibus ; Fretado ; Escolar ; Automóvel ; Táxi ; Moto ; Bicicleta ; A pé ; Outros ; Total 
 379 ;1226,61;0,00;15844,19;0,00;5018,86;25222,17;1198,84;803,25;952,21;40425,97;568,75;91260,85
 380 ;1762,33;0,00;44271,32;266,19;8978,59;13087,25;748,82;2488,30;2428,86;60902,65;1657,44;136591,73
 381 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 382 ;842,48;701,18;44883,67;1484,25;11577,73;38676,18;5444,36;2712,73;4385,54;67777,96;333,03;178819,12
 383 ;0,00;0,00;25854,60;1755,37;11498,78;14747,99;0,00;1030,77;0,00;55496,35;0,00;110383,85
 384 ;2146,98;0,00;7201,16;1706,32;3832,85;9285,68;246,30;0,00;0,00;24185,52;932,78;49537,57
 385 ;0,00;0,00;0,00;0,00;0,00;512,23;0,00;0,00;0,00;331,61;0,00;843,84
 386 ;0,00;0,00;2281,62;0,00;394,95;2499,59;0,00;499,88;241,52;4245,93;0,00;10163,48
 387 ;4024,20;0,00;24335,29;1392,12;10361,18;30278,16;0,00;2246,09;728,37;55486,90;123,39;128975,72
 388 ;0,00;0,00;1613,25;150,18;1221,51;3397,18;0,00;155,06;176,25;3399,69;123,39;10236,52
 389 ;280,39;0,00;10868,19;2424,75;2330,63;15367,06;3872,64;4337,50;1419,72;35297,04;665,50;76863,41
 390 ;0,00;0,00;2791,97;859,23;1148,85;5438,60;0,00;1060,46;2616,64;1840,53;0,00;15756,29
 391 ;11987,50;10912,00;12170,05;492,44;9212,85;24514,58;3559,26;0,00;0,00;38976,32;753,65;112578,65
 392 ;0,00;977,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;977,57
 393 ;12150,41;9366,35;12799,56;384,28;4884,47;36258,95;2118,63;2359,99;381,89;61104,72;0,00;141809,25
 394 ;1334,23;3137,93;2564,89;0,00;2442,99;6860,92;146,48;957,36;443,48;17003,19;0,00;34891,48
 395 ;4742,25;13502,34;19919,65;0,00;8926,21;30886,56;258,29;2254,27;5966,74;60589,97;643,32;147689,59
 396 ;7899,16;15528,43;18736,52;301,27;2815,70;53732,24;1147,51;3879,98;1901,27;85242,71;0,00;191184,79
 397 ;2499,51;5328,48;24421,21;0,00;10340,71;21624,54;1536,15;1010,51;2820,15;48796,18;0,00;118377,46
 398 ;2978,84;1490,26;17013,70;2271,12;5667,10;37034,22;441,73;9210,41;1464,19;72551,79;1468,27;151591,63
 399 ;5117,64;5234,39;8688,26;992,90;9672,12;10406,70;0,00;1193,27;756,01;35730,09;86,88;77878,24
 400 ;5552,44;11479,04;18551,82;5069,32;9676,18;27500,92;1038,52;2954,81;3771,61;78174,53;1662,54;165431,75
 401 ;4277,29;11759,99;42220,80;5112,71;19276,17;75275,01;1437,65;1659,63;11295,39;129960,72;1071,55;303346,91
 402 ;263,84;1401,08;5251,02;315,34;2578,52;6415,35;53,53;0,00;2131,69;11085,63;0,00;29495,99
 403 ;223,48;990,31;3002,62;1722,76;2524,23;3813,53;0,00;0,00;2115,54;8763,19;0,00;23155,65
 404 ;4422,51;6068,14;30186,22;2259,83;1235,98;104835,26;2571,96;4369,32;3897,54;85746,04;148,73;245741,53
 405 ;2015,15;5685,10;18580,50;2163,51;1839,80;24086,36;1070,55;3358,89;2148,77;17557,07;0,00;78505,69
 406 ;1093,65;6873,47;24646,88;3499,13;397,73;33165,04;487,01;1638,89;1336,67;18636,56;487,01;92262,03
 407 ;1927,56;5229,72;38026,40;2412,70;2877,39;57345,98;0,00;6303,41;3031,11;76949,01;0,00;194103,28
 408 ;2578,35;5778,98;10660,83;279,32;3261,78;11454,06;0,00;1277,86;1055,58;29859,97;0,00;66206,73
 409 ;951,08;565,55;3853,93;155,32;1774,82;6512,14;0,00;617,59;0,00;10320,36;0,00;24750,79
 410 ;83,99;84,02;3506,22;0,00;1652,09;5520,30;0,00;1869,88;363,21;3442,36;0,00;16522,07
 411 ;103,73;343,89;4829,11;480,99;1218,94;8829,00;1070,55;930,20;234,92;6564,72;0,00;24606,06
 412 ;406,78;732,55;13136,12;576,65;694,20;17851,81;0,00;2593,50;103,98;19196,48;0,00;55292,09
 413 ;0,00;1652,94;6029,78;0,00;5297,57;7450,00;0,00;1013,57;576,72;14448,15;0,00;36468,73
 414 ;0,00;319,53;3455,03;408,24;4513,07;13794,54;1557,08;802,80;2658,14;27476,49;148,73;55133,66
 415 ;0,00;0,00;1996,01;2031,39;1771,34;6485,40;239,12;32,44;902,66;18473,60;246,28;32178,23
 416 ;210,20;0,00;1304,74;420,39;4267,41;13111,60;0,00;1520,46;5694,24;19998,52;246,28;46773,83
 417 ;2291,05;2958,99;7382,61;0,00;5258,59;40127,55;964,40;6424,70;1047,23;43823,01;488,23;110766,35
 418 ;4386,86;1089,65;8583,72;391,89;2773,20;35809,46;2484,13;5934,52;0,00;30030,24;488,23;91971,89
 419 ;3197,72;1770,48;8670,50;0,00;7029,65;28641,87;202,24;10718,11;97,66;34568,06;0,00;94896,29
 420 ;324,16;28,15;4420,28;0,00;163,33;9437,19;179,78;286,29;461,08;3901,98;0,00;19202,24
 421 ;5018,19;10284,07;10726,72;3254,76;764,44;23408,92;147,75;2207,04;320,79;21972,74;1396,80;79502,21
 422 ;12032,32;18167,54;86361,85;3090,62;8833,41;142579,04;6128,00;5990,91;850,52;51126,21;903,24;336063,65
 423 ;684,75;1853,71;4648,51;182,34;3623,96;29215,41;1030,18;995,71;0,00;6804,89;0,00;49039,46
 424 ;1698,41;1221,41;11258,50;498,30;901,91;17901,56;1930,45;537,67;0,00;11302,40;0,00;47250,61
 425 ;1092,01;0,00;4314,94;587,69;564,40;13121,45;1968,51;453,17;844,08;14282,75;0,00;37228,99
 426 ;942,24;2972,23;6884,06;902,20;4561,79;20796,74;1053,76;253,65;2288,12;9504,38;0,00;50159,16
 427 ;4006,69;5573,34;3966,68;1715,23;1691,38;28791,20;1167,88;1159,77;207,91;24091,13;0,00;72371,21
 428 ;858,09;4774,26;10878,38;1071,32;3065,53;40557,20;809,56;231,66;314,08;27391,71;838,96;90790,74
 429 ;2742,89;2104,89;9948,13;789,81;6976,86;40376,27;0,00;1739,58;0,00;35528,61;838,96;101046,01
 430 ;2125,32;5674,13;10387,90;814,35;2658,52;24544,10;0,00;2491,11;0,00;19446,00;0,00;68141,42
 431 ;4313,98;1961,08;31272,77;9399,48;3362,97;73754,78;0,00;4441,13;1545,65;52283,09;0,00;182334,92
 432 ;6388,27;4406,63;26291,44;1454,83;2989,54;95707,57;3053,38;3572,45;0,00;38516,55;0,00;182380,66
 433 ;1089,48;1312,06;35916,34;2131,22;5539,02;42036,02;0,00;7311,85;2285,95;41416,86;0,00;139038,79
 434 ;20,88;521,93;885,29;41,29;442,38;3504,79;0,00;63,20;81,23;664,74;0,00;6225,75
 435 ;1044,55;4583,11;14345,95;7268,86;5915,23;25473,75;216,98;2164,57;0,00;15217,81;0,00;76230,81
 436 ;4922,78;14815,45;39636,49;1744,45;23830,69;79635,68;4568,37;1945,38;0,00;90198,07;1535,73;262833,07
 437 ;6757,64;16385,14;33927,21;7731,14;8152,42;49381,78;73,25;2543,52;0,00;108370,36;0,00;233322,47
 438 ;3879,78;8172,29;21912,52;2901,35;5809,87;28794,52;0,00;351,68;0,00;50570,64;0,00;122392,64
 439 ;808,27;1507,81;4859,75;945,87;752,12;8510,45;0,00;1293,02;0,00;7813,34;0,00;26490,63
 440 ;11030,40;12260,24;25198,04;2467,85;14940,89;62696,43;386,30;1860,84;7916,83;36403,29;1233,48;176394,61
 441 ;607,84;1977,33;5826,88;467,77;4012,29;6961,02;158,26;0,00;339,25;6541,54;0,00;26892,18
 442 ;708,07;1775,11;2883,10;267,80;2301,94;6263,75;73,25;0,00;541,14;3807,34;0,00;18621,51
 443 ;387,21;2071,94;1416,55;0,00;2614,94;2375,04;0,00;446,22;0,00;5167,08;0,00;14478,99
 444 ;571,10;5832,55;1979,92;0,00;7356,38;6126,15;114,75;945,35;0,00;24538,70;0,00;47464,90
 445 ;2228,44;0,00;34040,40;2832,52;15376,21;67012,53;2355,30;10247,70;0,00;43684,95;0,00;177778,06
 446 ;2349,31;0,00;15466,35;6957,06;4800,16;44573,60;808,23;3433,42;1201,54;37547,89;138,88;117276,45
 447 ;717,06;324,18;18909,56;2017,16;3837,47;46873,17;627,61;5086,36;439,15;25769,31;436,16;105037,19
 448 ;3585,73;889,98;32064,44;0,00;7306,64;49118,98;140,16;6603,67;1551,39;37277,03;1211,84;139749,86
 449 ;3307,32;4783,35;64111,31;2587,57;12278,35;106571,66;5167,78;8841,65;549,24;44156,15;0,00;252354,38
 450 ;1659,70;0,00;52383,45;3759,99;11269,45;62680,14;3514,20;7933,80;3401,62;103335,41;0,00;249937,74
 451 ;1492,28;0,00;35134,74;2195,04;13030,98;55455,48;1610,38;4883,84;0,00;52282,52;0,00;166085,25
 452 ;1172,48;133,48;10805,32;435,63;3932,22;13940,51;0,00;2477,22;835,87;27255,95;0,00;60988,69
 453 ;809,31;0,00;5873,62;374,86;6106,68;8477,43;0,00;2286,28;0,00;10628,84;0,00;34557,01
 454 ;1346,16;591,64;48514,80;2702,83;13186,07;47936,96;1234,88;7263,99;3741,98;98778,55;45,66;225343,51
 455 ;8217,23;1698,00;32611,22;974,92;7861,96;50648,26;2649,07;3641,37;880,55;70135,17;0,00;179317,75
 456 ;5268,59;1080,87;29750,76;3118,93;6312,39;38993,23;794,87;10780,56;2305,91;68633,91;0,00;167040,00
 457 ;3732,39;509,40;21284,71;2924,76;2822,01;46569,60;1403,81;8367,85;1393,46;94793,60;0,00;183801,58
 458 ;4650,94;0,00;18713,94;1191,47;2817,23;19370,65;1401,27;6208,69;1132,46;36812,21;0,00;92298,86
 459 ;1989,37;0,00;19640,24;266,30;7579,59;11794,57;0,00;1802,42;0,00;39511,08;0,00;82583,56
 460 ;6835,87;307,65;29936,19;1374,11;7183,15;35885,05;676,19;5546,05;488,49;35725,03;802,50;124760,28
 461 ;4691,76;311,93;10442,22;243,38;3112,56;24138,02;969,89;4648,00;1052,35;28023,47;92,12;77725,69
 462 ;6673,19;0,00;30793,20;1321,09;5508,18;27424,82;0,00;8317,11;2045,55;66545,94;0,00;148629,08
 463 ;3213,50;0,00;18102,79;0,00;7794,64;14967,70;0,00;5372,99;0,00;65091,05;0,00;114542,66
 464 ;7976,02;0,00;18335,40;0,00;3791,95;18979,07;0,00;12571,67;0,00;54057,27;0,00;115711,38
 465 ;15665,46;0,00;21872,60;795,79;10964,99;50144,08;528,90;11409,28;3299,67;70551,23;948,04;186180,03
 466 ;2634,12;0,00;29107,97;2628,02;7577,38;40045,57;630,48;6389,93;1142,61;46892,46;772,64;137821,18
 467 ;981,18;0,00;7287,57;243,99;4036,44;10445,13;0,00;567,88;159,21;9373,64;0,00;33095,04
 468 ;15017,01;0,00;47373,00;75,82;20209,60;75632,48;539,31;14728,99;3957,85;79964,30;287,19;257785,55
 469 ;133,32;0,00;942,13;75,82;1514,59;1709,97;0,00;312,78;0,00;2013,46;0,00;6702,08
 470 ;0,00;0,00;2327,52;860,89;1653,76;5517,17;0,00;664,44;159,21;3552,00;439,05;15174,04
 471 ;324,28;0,00;1636,71;106,72;3591,46;5258,97;0,00;371,50;0,00;8961,15;0,00;20250,80
 472 ;2479,97;400,93;12535,17;138,83;8191,16;23965,40;325,62;2626,91;261,66;20213,12;138,83;71277,60
 473 ;687,08;1097,15;5773,29;0,00;4178,06;7686,35;0,00;1550,71;784,97;3601,21;86,89;25445,71
 474 ;316,48;0,00;2327,12;348,78;3010,35;1519,60;0,00;318,66;0,00;996,69;0,00;8837,66
 475 ;361,10;0,00;5192,71;677,92;9096,16;10832,68;0,00;2238,74;683,44;14872,73;261,24;44216,72
 476 ;3607,23;8544,53;36751,14;262,38;14838,45;63010,42;251,27;9628,71;223,54;37077,43;1476,52;175671,61
 477 ;1800,55;624,81;17151,40;753,69;9494,25;46147,01;739,83;4724,50;1070,88;35307,66;0,00;117814,57
 478 ;2143,16;5425,87;34166,95;6171,04;259,08;51852,53;1842,70;12455,27;0,00;13985,11;333,03;128634,74
 479 ;331,61;2663,19;2339,69;0,00;626,70;4722,38;1660,30;130,62;0,00;3225,76;0,00;15700,27
 480 ;0,00;1543,57;11879,63;623,87;6768,85;19997,40;0,00;0,00;223,54;21061,67;0,00;62098,53
 481 ;2484,65;4572,74;14013,26;0,00;4234,50;27984,23;2078,43;11000,42;0,00;40618,51;0,00;106986,74
 482 ;765,19;2156,45;5338,49;134,34;1701,87;14193,36;154,11;1493,43;1333,44;15209,89;0,00;42480,57
 483 ;229,00;446,06;2789,29;328,45;1145,09;5811,32;376,62;2,41;0,00;934,47;0,00;12062,70
 484 ;4485,52;17084,89;27409,32;570,50;14805,05;28648,77;166,86;4181,66;0,00;51700,21;443,21;149495,99
 485 ;5767,46;15729,27;37258,21;1087,99;13382,21;40965,92;0,00;3516,04;378,29;74780,94;449,15;193315,47
 486 ;4331,11;4020,49;13720,42;96,36;2967,98;36036,67;0,00;1809,22;0,00;49324,28;3344,32;115650,85
 487 ;1367,73;3550,01;8430,82;0,00;3199,17;13252,64;0,00;1513,99;195,94;11217,19;0,00;42727,49
 488 ;1303,81;876,92;8172,73;454,12;3662,47;16722,73;161,51;908,25;0,00;34506,45;0,00;66768,99
 489 ;1483,01;10244,18;28768,18;0,00;4170,68;29914,31;1422,08;3956,86;0,00;10904,84;0,00;90864,15
 490 ;2219,10;3896,47;19479,65;257,18;4492,91;30806,08;492,55;1842,96;39,07;9686,83;452,16;73664,96
 491 ;1156,92;2328,85;13619,42;1638,44;7591,89;26492,48;312,14;2010,75;272,41;14122,37;0,00;69545,68
 492 ;6003,51;6774,93;18166,40;748,69;7727,51;61018,68;2730,40;8074,91;1434,94;46749,53;0,00;159429,50
 493 ;1395,06;354,19;8277,64;0,00;2944,23;8619,29;239,85;447,37;117,36;12931,82;130,62;35457,44
 494 ;5064,21;2971,27;11884,09;967,47;6325,75;19425,33;0,00;2029,84;0,00;36086,99;0,00;84754,94
 495 ;4761,94;2363,43;26131,33;606,83;16020,40;41577,42;557,12;5092,83;768,06;52768,22;0,00;150647,58
 496 ;5169,60;6539,79;9803,98;646,87;4831,32;49770,53;301,81;4386,46;1162,53;28818,42;509,78;111941,09
 497 ;223,76;429,54;3549,57;267,21;830,48;7000,85;53,88;1219,65;101,61;8123,22;0,00;21799,78
 498 ;1489,48;6076,67;6922,55;0,00;1166,41;16955,30;338,88;2326,66;195,94;11898,48;7,15;47377,54
 499 ;2260,61;7220,39;31348,02;1766,92;11488,77;33285,72;520,39;3941,23;901,28;67478,90;0,00;160212,21
 500 ;854,31;4310,39;10667,36;185,95;4727,85;21655,86;1643,19;199,79;831,88;32754,73;0,00;77831,32
 501 ;483,25;3036,07;17929,54;97,51;3950,92;24339,25;395,69;2681,14;1010,27;42338,78;0,00;96262,43
 502 ;1741,03;2434,82;14229,50;1634,44;167,45;10535,15;26,00;2539,36;482,45;11582,73;567,48;45940,41
 503 ;362,23;4811,44;2362,27;1439,08;109,71;11639,77;46,59;912,73;0,00;5548,68;86,89;27319,40
 504 ;2772,14;12850,04;13989,50;1340,67;1392,01;30348,08;419,15;15811,97;0,00;70371,88;0,00;149295,46
 505 ;579,11;778,90;562,07;0,00;553,97;5732,45;63,64;98,89;0,00;1593,24;0,00;9962,27
 506 ;3267,23;702,45;17204,39;236,61;6657,44;34481,40;0,00;3910,34;975,40;12665,93;204,91;80306,09
 507 ;1514,07;0,00;14456,44;181,85;1954,05;24841,87;0,00;4228,14;0,00;8317,63;443,21;55937,25
 508 ;3290,44;758,87;52495,88;3244,33;8151,59;93026,75;342,88;10370,02;611,91;73160,24;204,91;245657,84
 509 ;162,61;0,00;1463,21;0,00;1208,52;2334,29;0,00;296,93;0,00;1461,11;0,00;6926,67
 510 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 511 ;596,51;0,00;7024,38;201,40;4017,56;15847,58;0,00;2063,15;611,91;27084,22;70,24;57516,96
 512 ;1181,87;786,42;12118,90;0,00;7432,18;33080,94;497,61;1247,77;0,00;38955,28;943,77;96244,74
 513 ;127,37;121,44;440,51;63,68;333,35;1394,74;0,00;39,45;92,37;303,42;0,00;2916,32
 514 ;6200,14;14724,39;18551,15;3209,51;11202,53;37673,78;2640,33;3738,80;488,21;59879,77;0,00;158308,60
 515 ;3630,50;13886,93;22180,27;3896,56;8834,09;37053,90;1188,93;9644,65;580,58;53401,94;0,00;154298,35
 516 ;3367,08;1494,66;40337,03;3178,76;18607,01;83083,31;1908,58;8897,66;516,92;52786,10;564,47;214741,59
 517 ;83,32;151,64;2790,49;166,63;3145,05;2543,57;0,00;323,61;0,00;13722,93;0,00;22927,23
