ZONA;Coletivo; Individual;Modo Motorizado;Modo Não-  Motorizado;Total
109; 35.409 ; 19.210 ; 54.619 ; 19.884 ; 74.503 
110; 67.343 ; 49.855 ; 117.198 ; 107.733 ; 224.931 
111; 21.593 ; 3.210 ; 24.803 ; 29.295 ; 54.099 
112; 103.952 ; 32.202 ; 136.154 ; 174.261 ; 310.416 
113; 85.479 ; 25.946 ; 111.425 ; 111.755 ; 223.180 
114; 44.354 ; 75.759 ; 120.113 ; 23.258 ; 143.371 
115; 36.182 ; 31.828 ; 68.011 ; 22.243 ; 90.254 
116; 59.755 ; 75.639 ; 135.394 ; 47.689 ; 183.083 
117; 52.878 ; 63.884 ; 116.762 ; 67.774 ; 184.536 
118; 34.707 ; 17.638 ; 52.345 ; 64.725 ; 117.070 
119; 32.000 ; 9.297 ; 41.296 ; 53.971 ; 95.267 
120; 9.883 ; 4.704 ; 14.587 ; 33.666 ; 48.253 
121; 23.302 ; 7.745 ; 31.047 ; 32.309 ; 63.356 
122; 45.923 ; 30.470 ; 76.393 ; 52.864 ; 129.257 
123; 28.469 ; 2.465 ; 30.933 ; 41.638 ; 72.572 
124; 7.725 ; 25.107 ; 32.833 ; 32.566 ; 65.399 
125; 62.141 ; 25.941 ; 88.082 ; 66.576 ; 154.657 
126; 108.021 ; 98.805 ; 206.826 ; 110.760 ; 317.586 
127; 44.418 ; 39.247 ; 83.664 ; 64.241 ; 147.905 
128; 40.210 ; 23.006 ; 63.216 ; 23.958 ; 87.174 
129; 64.261 ; 56.015 ; 120.276 ; 59.732 ; 180.008 
130; 30.668 ; 9.423 ; 40.091 ; 67.112 ; 107.203 
131; 99.257 ; 32.234 ; 131.491 ; 116.935 ; 248.426 
132; 10.929 ; 8.203 ; 19.132 ; 24.065 ; 43.196 
133; 5.718 ; 13.508 ; 19.226 ; 44.832 ; 64.058 
134; 9.801 ; 4.214 ; 14.015 ; 10.732 ; 24.748 
135; 43.469 ; 21.936 ; 65.405 ; 89.907 ; 155.312 
136; 6.799 ; 9.349 ; 16.148 ; 14.833 ; 30.982 
137; 44.489 ; 16.463 ; 60.952 ; 59.964 ; 120.916 
138; 31.245 ; 17.980 ; 49.225 ; 62.268 ; 111.493 
139; 73.805 ; 26.104 ; 99.909 ; 80.141 ; 180.050 
140; 4.567 ; 1.433 ; 6.000 ; 7.920 ; 13.920 
141; 23.469 ; 12.455 ; 35.924 ; 37.943 ; 73.867 
142; 131.252 ; 73.165 ; 204.416 ; 168.865 ; 373.281 
143; 8.017 ; 1.891 ; 9.907 ; 6.661 ; 16.569 
144; 12.063 ; 6.338 ; 18.401 ; 7.187 ; 25.588 
145; 1.046 ; 288 ; 1.334 ; 2.609 ; 3.943 
146; 1.171 ; 4.355 ; 5.525 ; 14.005 ; 19.530 
147; 4.176 ; 2.935 ; 7.111 ; 17.135 ; 24.245 
148; 1.371 ; 6.515 ; 7.887 ; 12.887 ; 20.774 
149; 92.903 ; 17.384 ; 110.287 ; 147.084 ; 257.370 
150; 37.645 ; 23.702 ; 61.346 ; 34.061 ; 95.407 
151; 15.284 ; 6.806 ; 22.090 ; 20.247 ; 42.338 
152; 46.406 ; 18.358 ; 64.764 ; 58.642 ; 123.407 
153; 10.128 ; 1.381 ; 11.509 ; 16.422 ; 27.932 
154; 54.636 ; 32.234 ; 86.870 ; 56.759 ; 143.629 
155; 50.773 ; 42.085 ; 92.858 ; 65.364 ; 158.222 
156; 39.841 ; 57.903 ; 97.743 ; 52.937 ; 150.681 
