ZONA;Ônibus;Fretado;Escolar;Automóvel;Táxi;Metrô;Trem;Moto;Bicicleta;A pé;Outros;Total
 344 ;1258;245;305;904;0;27;298;107;462;4527;73;8207
 345 ;26404;3889;7710;48618;0;2229;10949;73;421;38766;425;139484
 346 ;13497;2824;1780;11544;0;340;422;0;0;13934;0;44340
 347 ;2598;0;131;160;0;0;0;59;95;2381;58;5484
 348 ;36563;954;1949;10811;0;847;703;359;917;44678;205;97986
 349 ;597;0;359;1049;0;0;0;0;60;1351;0;3416
 350 ;9094;185;829;17252;120;60;0;1221;954;27264;926;57904
 351 ;41060;3476;1362;38944;0;1577;601;872;168;73991;126;162178
 352 ;0;0;874;0;0;0;0;0;0;0;0;874
 353 ;0;0;0;0;0;0;0;0;0;0;0;0
 354 ;0;0;0;0;0;0;0;0;0;0;0;0
 355 ;40768;1710;1807;27802;0;194;48;0;473;48567;216;121585
 356 ;24452;3940;3283;10261;301;4079;22237;3090;1580;105875;2257;181355
 357 ;1528;845;402;1102;0;0;209;0;0;9164;277;13527
 358 ;621;0;178;996;0;9;0;0;180;895;121;3001
 359 ;0;0;0;0;0;0;0;0;0;0;0;0
 360 ;0;0;0;0;0;0;0;0;0;0;0;0
 361 ;29439;2188;972;8848;729;4042;26053;0;486;86196;0;158955
 362 ;0;0;0;0;0;0;0;0;0;0;0;0
 363 ;0;0;0;0;0;0;0;0;0;0;0;0
 364 ;0;0;0;0;0;0;0;0;0;0;0;0
 365 ;0;0;0;0;0;0;0;0;0;0;0;0
 366 ;0;0;0;0;0;0;0;0;0;0;0;0
 367 ;0;0;0;0;0;0;0;0;0;0;0;0
 368 ;7173;1078;0;17672;322;482;0;0;7074;57127;2279;93207
 369 ;702;37;73;4829;0;67;0;0;218;1375;0;7301
 370 ;2183;407;0;5844;0;0;72;503;4764;10815;711;25299
 371 ;24764;1206;316;21855;102;1304;2462;158;1054;51078;0;104298
 372 ;66945;7601;8899;201969;961;3482;7642;5594;5150;84454;1528;394225
 373 ;6458;983;152;11583;0;175;624;51;765;12323;0;33113
 374 ;1208;185;0;901;0;36;0;0;125;2425;0;4880
 375 ;9009;312;51;6614;0;51;133;446;1612;4033;408;22669
 376 ;4729;1445;0;6993;0;66;103;0;118;17968;250;31672
 377 ;3054;80;0;3251;0;34;135;93;1423;8291;343;16704
 378 ;820;341;143;1068;0;0;1329;0;35;2255;0;5990
