ZONA;Ônibus;Transporte Fretado;Transporte Escolar;Dirigindo Automóvel;Táxi;Metrô;Trem;Moto;Bicicleta;A pé;Outros;Total
321;730,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;730,17
322;36575,40;1918,53;4409,57;31320,20;0,00;4105,25;6629,18;4686,40;0,00;51063,59;0,00;140708,12
323;0,00;375,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;375,42
324;24000,27;3326,54;11918,36;16476,22;0,00;956,28;873,80;1810,31;1965,68;32860,83;1125,84;95314,13
325;1344,36;35,72;4047,43;854,48;0,00;0,00;0,00;171,91;71,45;1735,86;0,00;8261,21
326;591,90;0,00;0,00;1144,70;0,00;229,95;0,00;0,00;0,00;0,00;0,00;1966,56
327;28331,03;727,10;7034,28;19432,31;0,00;8029,21;19646,40;0,00;0,00;89587,81;0,00;172788,14
328;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
329;0,00;0,00;0,00;0,00;0,00;76,72;0,00;0,00;0,00;0,00;0,00;76,72
330;34450,63;0,00;6744,22;23466,38;0,00;9642,59;24942,21;1686,06;0,00;87147,79;0,00;188079,88
331;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
332;8367,63;895,76;8285,64;22885,72;489,78;2811,64;0,00;1010,08;429,07;50649,23;858,13;96682,69
333;1079,37;0,00;0,00;1540,84;0,00;0,00;0,00;336,69;0,00;1102,45;0,00;4059,35
334;2075,90;0,00;0,00;917,08;0,00;0,00;0,00;0,00;429,07;673,39;0,00;4095,44
335;811,96;405,98;429,07;775,07;0,00;0,00;0,00;0,00;0,00;765,76;0,00;3187,84
336;103597,86;1829,14;13248,86;68256,28;711,40;5237,89;0,00;2693,74;674,02;63671,57;306,21;260226,96
337;22226,33;4998,08;2291,71;14034,61;957,23;161,50;0,00;761,50;1224,16;24971,23;217,85;71844,19
338;15134,13;3185,82;55,48;9676,74;55,48;174,39;0,00;366,40;0,00;7530,74;0,00;36179,18
339;27401,34;2190,47;3363,21;19832,70;0,00;3906,19;0,00;800,80;498,48;20760,27;237,87;78991,33
340;34352,07;851,37;6745,65;37787,03;0,00;5828,38;397,23;1296,14;600,77;42341,89;0,00;130200,53
341;52773,60;2745,81;14946,96;67967,36;0,00;13132,11;0,00;3473,08;2396,90;71822,72;1516,57;230775,11
342;78540,48;2976,72;6297,38;56195,76;0,00;1670,75;0,00;2952,28;2952,28;75770,37;1494,29;228850,30
343;7741,74;2248,86;0,00;18328,26;875,45;1711,35;0,00;200,38;771,73;439,57;36,14;32353,48
344;98226,82;14919,48;10672,23;104555,21;44,87;14737,59;0,00;11446,82;12023,13;199188,52;542,46;466357,13
345;48036,75;2843,35;4984,41;37521,90;0,00;10710,94;343,80;223,81;0,00;50039,28;0,00;154704,25
346;0,00;0,00;0,00;222,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;222,25
347;58980,83;7725,64;4772,68;20860,31;0,00;3939,42;0,00;3123,52;1343,67;97098,63;0,00;197844,71
348;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
349;0,00;0,00;0,00;688,87;0,00;0,00;0,00;0,00;580,92;0,00;0,00;1269,79
350;30233,52;5492,18;3295,62;35345,33;411,95;1337,02;0,00;1907,73;3487,56;66059,17;411,95;147982,03
351;1130,31;0,00;0,00;205,68;0,00;0,00;0,00;0,00;334,46;2732,01;0,00;4402,46
352;9504,88;671,15;2935,51;12145,76;0,00;513,12;302,26;1317,59;1964,02;27721,64;646,44;57722,37
353;0,00;0,00;0,00;137,49;0,00;0,00;0,00;312,69;0,00;323,22;0,00;773,40
354;11822,43;367,64;4791,02;5480,85;367,64;5740,57;9567,24;609,28;1102,93;72741,14;0,00;112590,74
355;16,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;874,67;0,00;891,58
356;14914,14;3233,75;4394,86;16568,29;0,00;7667,83;10539,65;937,41;2615,66;48407,72;0,00;109279,31
357;3703,28;0,00;0,00;2190,29;0,00;887,59;1306,22;299,58;1102,46;7058,47;0,00;16547,89
358;12565,94;35,04;3127,13;20091,89;1157,43;6374,70;7394,87;2364,74;3054,50;75942,86;0,00;132109,09
359;27104,10;1427,90;5645,89;67828,42;0,00;4250,14;10638,68;893,43;3868,00;140280,49;0,00;261937,06
360;28783,07;3650,73;768,76;42498,04;742,24;2002,29;843,35;2226,71;1484,48;58228,81;0,00;141228,47
361;8943,15;680,61;0,00;4287,84;0,00;1950,94;2976,64;692,30;2483,54;37000,33;692,30;59707,65
362;29035,71;3813,31;11305,34;22995,24;605,37;4481,55;5976,72;8010,14;4988,92;60034,59;698,18;151945,07
