ZONA;Coletivo;Individual;Motorizado;Não Motorizado;Total
1;105887,06;26932,52;132819,57;27543,46;160363,03
2;81142,61;27305,71;108448,32;12569,76;121018,08
3;27306,28;10186,98;37493,26;18525,84;56019,1
4;41206,41;20092,35;61298,77;26168,06;87466,83
5;108832,31;26736,09;135568,4;42331,53;177899,93
6;57825,78;20062,94;77888,72;17504,57;95393,29
7;61432,77;21508,59;82941,36;23169,07;106110,43
8;12721,55;8762,15;21483,7;5962,3;27446
9;18136,89;7415,27;25552,16;6326,06;31878,22
10;7748,05;6846,18;14594,23;3441,75;18035,98
11;2031,64;3173,26;5204,9;1886,1;7091
12;21952,77;15665,42;37618,18;11173,28;48791,47
13;10101,06;4407,04;14508,1;3132,71;17640,8
14;37744,12;9764,67;47508,79;8098,41;55607,19
15;11171,42;5604,32;16775,73;6255,42;23031,15
16;17951,42;9643,65;27595,07;8364,28;35959,35
17;12793,4;6275,54;19068,94;3128,27;22197,21
18;26735,44;16453,96;43189,41;12954,56;56143,97
19;15214,4;17960,75;33175,15;9018,16;42193,31
20;14995,42;12088,55;27083,98;8907,5;35991,47
21;8371,31;18774,15;27145,46;7586,53;34731,99
22;14410,27;9592,43;24002,7;5847,6;29850,3
23;28077;12959,11;41036,11;4885,3;45921,4
24;47622,55;17923,98;65546,53;19553,81;85100,34
25;8354,68;7870,07;16224,75;13195,99;29420,74
26;21328,22;9213,73;30541,95;15929,6;46471,55
27;52727,47;39898,67;92626,14;21420,02;114046,15
28;21895,19;13763,39;35658,58;8649,39;44307,98
29;29418,75;17858,85;47277,6;13686,15;60963,75
30;21325,97;20511,74;41837,71;15433,16;57270,87
31;51419,79;30413,34;81833,13;26285,1;108118,23
32;38036,49;21009,98;59046,47;12875,1;71921,57
33;1022,88;4054,98;5077,86;1268,93;6346,79
34;7150,42;14580,94;21731,36;5919,37;27650,73
35;47269,72;20431,99;67701,7;29034,17;96735,88
36;42512,24;37710,84;80223,08;26052,1;106275,18
37;16532,77;11193,24;27726,01;3047,61;30773,63
38;5715,55;2677,58;8393,12;2319,22;10712,34
39;17104,97;9810,59;26915,56;2966,62;29882,19
40;12597,59;7694,84;20292,43;7141,48;27433,91
41;25479,9;16825,81;42305,71;9166,6;51472,31
42;10650,03;5356,93;16006,96;5761,15;21768,11
43;47460,33;26733,5;74193,83;9311,83;83505,65
44;15181,74;18042,32;33224,07;9425,33;42649,39
45;36904,09;46827,97;83732,06;26121,68;109853,73
46;19275,75;34317,88;53593,63;25950,77;79544,39
47;11020,61;16019,8;27040,41;13428,92;40469,32
48;23325,19;32739,62;56064,81;14062,75;70127,56
49;14781,52;13978,7;28760,23;9008,49;37768,72
50;7188,73;12363,6;19552,32;4869,34;24421,66
51;13317,05;14849,84;28166,89;1477,29;29644,18
52;12542,5;12495,38;25037,88;6274,89;31312,78
53;24992,66;18421,06;43413,73;7981,11;51394,84
54;43614,02;32204,08;75818,1;20653,46;96471,56
55;25373,69;28230,63;53604,32;17197,8;70802,12
56;37649,35;43174,6;80823,95;20917,15;101741,1
57;34063,02;32300,86;66363,88;23484,81;89848,7
58;25806,57;32003,75;57810,32;14660,17;72470,49
59;48633,74;50756,22;99389,96;23017,12;122407,09
60;26402,32;31385,94;57788,26;8263,64;66051,9
61;24620,12;49401,17;74021,29;13901,49;87922,78
62;21174,3;18881,04;40055,33;4681,47;44736,8
63;16790,25;16456,99;33247,24;2975,92;36223,16
64;44946,92;67187,76;112134,69;19130,86;131265,54
65;24366,12;27156,2;51522,32;6335,02;57857,34
66;12884,04;24197,98;37082,02;5690,64;42772,66
67;50632,05;66787,41;117419,46;28620,44;146039,9
