 ZONA ; Coletivo ; Individual ; Motorizado ; Não-Motorizado ; Total 
135; 43.357 ; 22.786 ; 66.143 ; 90.006 ; 156.149 
136; 7.437 ; 8.818 ; 16.255 ; 14.823 ; 31.079 
137; 44.130 ; 16.956 ; 61.086 ; 59.823 ; 120.908 
138; 31.226 ; 18.048 ; 49.274 ; 62.319 ; 111.593 
139; 74.022 ; 25.115 ; 99.137 ; 80.430 ; 179.567 
140; 4.605 ; 1.589 ; 6.194 ; 7.842 ; 14.036 
141; 22.840 ; 13.056 ; 35.895 ; 38.569 ; 74.464 
142; 133.040 ; 71.650 ; 204.690 ; 168.233 ; 372.922 
143; 6.886 ; 2.394 ; 9.280 ; 6.877 ; 16.157 
144; 11.705 ; 6.948 ; 18.653 ; 7.272 ; 25.925 
145; 1.046 ; 288 ; 1.334 ; 2.609 ; 3.943 
146; 1.223 ; 4.302 ; 5.525 ; 13.579 ; 19.105 
147; 4.198 ; 2.727 ; 6.925 ; 17.135 ; 24.059 
148; 1.334 ; 6.553 ; 7.887 ; 12.928 ; 20.815 
149; 91.889 ; 17.700 ; 109.590 ; 147.963 ; 257.553 
150; 39.705 ; 24.591 ; 64.296 ; 32.838 ; 97.134 
151; 16.199 ; 6.263 ; 22.462 ; 20.504 ; 42.967 
152; 45.439 ; 18.779 ; 64.219 ; 59.264 ; 123.483 
153; 10.173 ; 1.411 ; 11.584 ; 16.420 ; 28.003 
154; 52.237 ; 33.237 ; 85.474 ; 56.799 ; 142.273 
155; 50.621 ; 42.278 ; 92.899 ; 65.513 ; 158.412 
156; 39.791 ; 58.268 ; 98.059 ; 53.437 ; 151.496 
157; 123.131 ; 96.404 ; 219.535 ; 51.451 ; 270.987 
158; 97.574 ; 109.353 ; 206.927 ; 105.817 ; 312.744 
159; 57.491 ; 33.940 ; 91.430 ; 90.339 ; 181.770 
160; 73.348 ; 62.129 ; 135.476 ; 75.346 ; 210.823 
161; 41.732 ; 71.634 ; 113.366 ; 85.169 ; 198.534 
162; 129.265 ; 106.081 ; 235.346 ; 129.529 ; 364.875 
163; 42.764 ; 62.885 ; 105.649 ; 51.484 ; 157.133 
164; 110.036 ; 157.925 ; 267.962 ; 114.193 ; 382.154 
165; 111.627 ; 79.961 ; 191.589 ; 95.300 ; 286.888 
166; 7.225 ; 4.328 ; 11.553 ; 13.917 ; 25.470 
167; 36.862 ; 27.657 ; 64.519 ; 64.937 ; 129.456 
168; 91.109 ; 72.275 ; 163.384 ; 188.390 ; 351.774 
169; 16.520 ; 3.588 ; 20.108 ; 28.494 ; 48.602 
