ZONA;Coletivo;Individual;Motorizado;Não Motorizado;Total
1;120747,46;27543,81;148291,27;29230,89;177522,16
2;71225,29;21367,87;92593,16;20377,01;112970,17
3;30433,91;10257,88;40691,8;20703,88;61395,67
4;42005,93;17159,98;59165,91;27901,12;87067,03
5;101224,78;25563,27;126788,05;39213,13;166001,18
6;60053,47;24710,41;84763,88;27045,38;111809,26
7;45398,98;17278,24;62677,22;19790,02;82467,24
8;40875,75;18096,22;58971,98;24016,24;82988,22
9;24238,57;18159,31;42397,88;9005,97;51403,85
10;14413,24;15139,3;29552,54;6497,7;36050,24
11;15006,2;10991,41;25997,61;14000,4;39998,01
12;16615,44;29461,63;46077,07;14040,08;60117,15
13;48450,5;25090,35;73540,85;16834,94;90375,79
14;33695,2;19568,21;53263,42;30960,74;84224,16
15;42215,67;28801,76;71017,42;13040,35;84057,78
16;71389,82;43523,88;114913,71;19889,42;134803,13
17;93103,01;75574,85;168677,86;56791,44;225469,3
18;44524,29;21223,03;65747,32;34897,37;100644,7
19;34416,01;21898,33;56314,34;15778,54;72092,88
20;7165,14;6090,04;13255,18;5159,9;18415,09
21;20635,7;26784,85;47420,55;23167,31;70587,86
22;40730,16;24083,97;64814,13;13271,28;78085,41
23;15605,85;10622,38;26228,23;6161,22;32389,46
24;45009,04;32169,92;77178,95;27412,81;104591,77
25;28143,63;32678,16;60821,79;18318,6;79140,39
26;15364,23;24697,19;40061,42;13043,77;53105,19
27;43158,58;51038,21;94196,79;18083,41;112280,2
28;10214,7;11525,32;21740,02;4417,58;26157,6
29;16988,73;32056,88;49045,61;9637,13;58682,74
30;37824,65;48399,09;86223,74;16239,61;102463,35
31;54723,61;46475,67;101199,29;21650,36;122849,65
32;26214,88;24213,59;50428,47;17744,19;68172,66
33;28180,4;36372,69;64553,09;11363,39;75916,47
34;40701;59393,2;100094,2;20983,13;121077,33
35;49255,78;37259,39;86515,17;12142,23;98657,4
36;19107,34;33494,47;52601,8;5462,7;58064,5
37;26250,4;54708,42;80958,81;16780,1;97738,92
38;41244,94;33793;75037,93;26204,7;101242,64
39;34758,51;36958,89;71717,4;10753,32;82470,72
40;12975,28;7622,73;20598,01;2831,58;23429,58
41;19890,72;15177,6;35068,32;2977,66;38045,98
42;25798,31;31999,6;57797,91;34635,49;92433,4
43;4958,21;7298,09;12256,3;371,47;12627,77
44;44038,16;31221,59;75259,76;11682,43;86942,19
45;15535,52;13457,44;28992,96;9860,7;38853,67
46;25966,43;29368,82;55335,26;12031,33;67366,58
47;28513,11;44928,97;73442,08;26475,47;99917,55
48;22745,41;23581,87;46327,28;35427,88;81755,16
49;24103,52;32826,4;56929,92;29847,61;86777,52
50;26844,58;21700,24;48544,82;33807,65;82352,46
51;56381,18;41822,83;98204,01;16965,31;115169,33
52;48860,09;67245,57;116105,66;27020,12;143125,78
53;30857,89;62495,86;93353,76;23634,9;116988,66
54;12868,97;33997,28;46866,25;15070,5;61936,75
55;19095,31;51780,56;70875,87;18738,37;89614,24
56;13878,32;25475,76;39354,08;22256,48;61610,56
57;5152,25;2468,06;7620,31;4767,76;12388,07
58;18278,45;19959,65;38238,09;13063,9;51301,99
59;27999,6;51558,74;79558,34;29216,45;108774,79
60;6560,13;16979,12;23539,25;8654,32;32193,56
61;28728,34;57959,18;86687,52;17871,08;104558,6
62;14301,98;12682,82;26984,8;6756,65;33741,45
63;24557,81;23359,1;47916,91;8540,33;56457,24
64;30199,92;22819,16;53019,08;6543,22;59562,3
65;24074;34377,86;58451,85;15186,41;73638,26
66;34539,08;36874,94;71414,02;8900,73;80314,76
67;9873,53;19866,36;29739,89;4501,51;34241,4
68;16240,19;29405,39;45645,58;7157,46;52803,04
69;37426,67;51964,35;89391,02;21475,27;110866,29
70;34871,75;60627,84;95499,6;10762,32;106261,91
71;20910,4;24569,07;45479,47;16276,53;61756
72;51547,31;49289,7;100837,02;13974,48;114811,5
73;16937,74;45322,26;62260,01;18910,82;81170,82
74;41412,84;63470,4;104883,23;18043,91;122927,14
75;10730,09;17995,47;28725,57;3800,85;32526,42
76;18269,43;16187,65;34457,08;6418,67;40875,74
77;75193,78;48620,53;123814,31;19070,85;142885,17
78;27087,12;46814,12;73901,25;21588,69;95489,93
79;25298,27;20380,35;45678,61;7533,5;53212,12
80;10041,8;11755,99;21797,79;5758,11;27555,9
81;46742,9;43022,8;89765,7;37764,46;127530,16
82;26173,48;26006,67;52180,15;26720,94;78901,09
83;28607,42;31828,33;60435,75;16402,77;76838,52
84;19399,67;34100,39;53500,06;17488,05;70988,1
85;21533,14;42596,98;64130,12;20244,79;84374,91
86;18095,66;20075,38;38171,04;18464,84;56635,87
87;25089,15;26282,32;51371,47;38648,11;90019,58
88;28073,49;25856,84;53930,33;49285,18;103215,52
89;6213,86;6591,68;12805,54;12556,29;25361,83
90;54131,21;42708,19;96839,4;31753,88;128593,29
91;51398,51;42598,41;93996,92;25392,01;119388,93
92;23514,39;26614,12;50128,51;27764,56;77893,06
93;26970,07;24056,92;51026,99;21186,39;72213,38
94;36925,69;50532,31;87458;43363,89;130821,89
95;24588,11;35450,1;60038,21;18494,86;78533,07
96;23446,41;30830,33;54276,73;21995,9;76272,63
97;34243,45;37806,92;72050,38;36036,47;108086,84
98;21562,35;19215,7;40778,04;19842,42;60620,46
99;15555,59;14056,46;29612,06;14114,88;43726,93
100;34697,54;36969,99;71667,52;42110,09;113777,61
101;9109,29;10778,3;19887,59;13902,81;33790,4
102;30194,48;43282,28;73476,76;25133,77;98610,52
103;31169,98;31780,79;62950,76;43930,6;106881,37
104;26741,56;24453,96;51195,53;41035,75;92231,27
105;23264,18;38995,15;62259,33;29887,56;92146,89
106;45702,09;57888,44;103590,53;67009,46;170599,99
107;19383,95;28295,05;47679;39752,5;87431,5
108;431,73;166,85;598,58;173,85;772,43
109;29222,73;35060,75;64283,48;21694,65;85978,13
110;35002,29;40449,81;75452,11;28884,64;104336,75
