ZONA;Coletivo;Individual;Motorizado;Não Motorizado;Total
1;99471,99;17176,13;116648,12;43854,8;
2;82266,14;27434,25;109700,4;27531,34;
3;29068,26;9807,03;38875,29;24095,7;
4;33109,63;16763,51;49873,14;28310,83;
5;107280,84;25663,3;132944,14;53275,48;
6;56126,56;17890,36;74016,92;35774,26;
7;42235,57;18592,39;60827,97;32333,05;
8;11976,48;7883,02;19859,5;20363,21;
9;20488,67;7261,05;27749,72;8519,09;
10;15796,61;3570,17;19366,78;4523,18;
11;3883,94;5743,5;9627,44;1775,6;
12;18773,41;10554,42;29327,83;16808;
13;12453,88;8518,54;20972,42;4158,34;
14;36373,16;14547,36;50920,53;15575,1;
15;21627,74;5714,59;27342,33;8824,45;
16;25491,84;8085,76;33577,6;15068,97;
17;14957,46;5718,62;20676,08;10948,51;
18;29334,58;24920,54;54255,12;20251,91;
19;17713,91;28505,32;46219,23;11461,11;
20;17236,2;15467,89;32704,09;14378,72;
21;13317,58;21354,15;34671,73;9759,18;
22;15055,73;9972,51;25028,24;12014,93;
23;45842,88;16064,29;61907,17;12108,94;
24;56883,65;14043,1;70926,75;18771,11;
25;14183,21;8016,47;22199,68;18430,51;
26;20283,32;16946,84;37230,16;17277,4;
27;56911,11;30529,87;87440,98;30356,42;
28;37406,07;21680,16;59086,23;17085,17;
29;49318,59;23254,71;72573,3;22364,54;
30;20697,69;21143,41;41841,1;21273,87;
31;62489,96;27313,28;89803,23;29228,65;
32;62854,69;17388,12;80242,81;31890,58;
33;2904,14;2535,06;5439,2;1489,92;
34;7396,1;17211,19;24607,28;7249,87;
35;47010,17;23231,37;70241,54;44093,36;
36;49194,1;34563,87;83757,98;28889,99;
37;15945,7;11601,31;27547,01;6227,45;
38;3256,75;4207,92;7464,67;4710,49;
39;15725,06;7528,34;23253,4;3854,73;
40;22626,2;8754,56;31380,77;10884,75;
41;32104,01;20954,35;53058,37;28242,82;
42;14834,96;7530,15;22365,12;6989,63;
43;63648,72;26279,76;89928,48;19403,17;
44;22844,21;24871,56;47715,77;12601,38;
45;37890,45;33564,61;71455,05;27264,78;
46;25168,22;19453,45;44621,66;27228,21;
47;9423,55;18378;27801,55;15640,74;
48;18540,66;19246,92;37787,58;11373,56;
49;31671,44;15164,77;46836,21;13363,16;
50;4743,24;8985,98;13729,21;3072,78;
51;10796,92;13095,18;23892,1;6067,92;
52;25042,42;9928,54;34970,96;7004,62;
53;34909,75;20064,83;54974,58;10803,62;
54;41146,29;27624,17;68770,46;21127,7;
55;20819,83;22880,81;43700,64;6764,92;
56;32368,68;24532,38;56901,06;19951,83;
57;45464,11;35204,67;80668,78;29945,91;
58;28276,88;13884,01;42160,89;13478,4;
59;72043,32;42645,53;114688,85;49772,24;
60;22198,05;36525,36;58723,41;10624,67;
61;31090,24;26940,33;58030,56;18050,21;
62;23844,73;18534,54;42379,28;6357,33;
63;22513,02;13197,63;35710,65;2433,24;
64;35778,25;41709,57;77487,82;27117,96;
65;17404,89;36515,05;53919,94;14411,22;
66;24181,32;30059,53;54240,85;5697,38;
67;13475,58;11558,54;25034,13;7670,59;
68;58880,9;54948,75;113829,65;58021,21;
69;19827,55;23714,88;43542,43;17183,32;
70;22800,58;19583,12;42383,71;12212,03;
71;20325,04;31199,1;51524,15;15171,52;
72;24099,13;23315,62;47414,75;13522,26;
73;71212,26;50135,31;121347,57;59947,28;
74;37004,4;18492,02;55496,42;21120,77;
75;15563,11;15363,59;30926,7;11823,59;
76;16785,3;23386,4;40171,7;10539,71;
77;46209,98;28954,27;75164,25;20821,42;
78;20990,68;22412,48;43403,16;14816,4;
79;62268,93;34715,1;96984,03;28407,25;
80;32730,18;24305,47;57035,65;23812,29;
81;35258,22;32349,5;67607,72;19813,2;
82;82419,56;47170,11;129589,67;34252,49;
83;36362,65;31073,85;67436,5;22719,46;
84;16453,74;24539,46;40993,2;13595,16;
85;7483,83;8753,47;16237,3;4129,54;
86;4606,5;3860,29;8466,79;1861,23;
87;16757,88;19365,91;36123,78;8380,34;
88;24778,78;48055,22;72834;31119,44;
89;8373,53;8652,94;17026,47;3592,7;
90;11251,82;23236,26;34488,08;10574,88;
91;42866,91;13614,85;56481,76;4992,92;
92;13322,7;9496,06;22818,76;8698,05;
