ZONA; Ônibus ; Fretado ; Escolar ; Automóvel ; Táxi ; Lotação ; Metrô ; Trem ; Moto ; Bicicleta ; A pé ; Outros ; Total 
 338 ;34104,78;3150,67;1769,51;96598,74;0,00;132,02;2074,79;4386,45;192,37;6236,77;105667,24;0,00;254313,33
 339 ;9758,33;335,73;0,00;2198,83;0,00;0,00;0,00;429,32;0,00;420,98;13679,34;426,25;27248,77
 340 ;272,56;0,00;0,00;15,86;0,00;4,53;6,80;4,44;1,13;3,40;57,76;0,00;366,47
 341 ;4233,31;329,13;154,37;5683,53;0,00;31,79;312,81;483,12;154,37;1493,64;19930,28;190,71;32997,07
 342 ;1481,47;121,10;34,44;1743,87;0,00;0,00;34,44;611,94;28,89;0,00;3685,24;0,00;7741,39
 343 ;7262,76;744,66;384,42;3302,71;0,00;0,00;0,00;2280,44;73,11;92,00;7089,17;311,31;21540,58
 344 ;1206,10;217,80;305,34;956,18;0,00;0,00;27,45;298,11;106,67;461,50;4527,08;73,11;8179,35
 345 ;27310,68;3761,52;7709,77;49051,06;0,00;562,74;1773,53;9253,33;0,00;421,15;38766,30;424,72;139034,81
 346 ;12114,65;2735,36;1868,09;11743,15;88,42;538,84;339,70;976,68;0,00;0,00;14143,09;0,00;44548,00
 347 ;2510,37;0,00;131,32;94,43;0,00;0,00;0,00;0,00;59,45;95,39;2410,05;58,49;5359,50
 348 ;37321,73;595,32;1769,70;10903,61;0,00;0,00;667,79;468,67;538,45;916,77;44678,11;204,90;98065,05
 349 ;597,29;0,00;358,84;1023,21;0,00;0,00;0,00;0,00;0,00;60,31;1350,98;0,00;3390,62
 350 ;9188,70;184,76;829,13;16834,04;119,52;277,14;59,76;0,00;1221,00;954,06;27323,56;866,48;57858,16
 351 ;32605,48;3476,38;1361,90;38961,81;0,00;7672,43;1328,22;0,00;581,25;168,09;73347,85;457,35;159960,74
 352 ;0,00;0,00;874,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;874,17
 353 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 354 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 355 ;39329,46;1566,59;1770,15;28073,15;0,00;273,19;556,07;47,70;0,00;473,32;49283,00;216,20;121588,83
