ZONA;Coletivo;Individual;Motorizado;Não Motorizado;Total
1;124233,15;30142,88;154376,03;26662,77;181038,8
2;68029,91;20926,78;88956,69;25576,12;114532,81
3;34073,78;10415,54;44489,32;17056,53;61545,84
4;41159,31;16945,24;58104,55;30264,25;88368,8
5;101818,7;26390,98;128209,69;38007,47;166217,15
6;65694,33;22355,05;88049,38;25773,82;113823,21
7;43342,69;19312,6;62655,29;19299,55;81954,84
8;44253,54;17465,44;61718,99;23210,34;84929,32
9;24040,8;18313,53;42354,32;10400,16;52754,48
10;14702,14;15136,36;29838,51;6588,25;36426,75
11;11889;14441,11;26330,11;14249;40579,11
12;19115,66;27147,29;46262,95;14107,44;60370,39
13;52976,97;25386,48;78363,45;13961,84;92325,29
14;34805,53;19626,52;54432,04;30774,75;85206,79
15;41783,7;28234,66;70018,35;14413,86;84432,21
16;72786,06;44120,99;116907,05;18846,46;135753,51
17;92591,49;79496,77;172088,26;56020,63;228108,89
18;46253,09;19594,09;65847,17;35539,53;101386,7
19;32651,18;22390,57;55041,75;17839,81;72881,56
20;7116,4;6159,33;13275,73;5166,5;18442,23
21;19737,84;27945,56;47683,41;22543,3;70226,71
22;40318,03;23533,08;63851,11;13610,11;77461,21
23;17285,99;10322,49;27608,48;6297,04;33905,52
24;44280,19;35975,83;80256,03;25569,75;105825,78
25;26942,73;33620,25;60562,97;18451,03;79014
26;15328,28;24803,5;40131,78;12806,04;52937,82
27;43183,64;53135,85;96319,49;17816,06;114135,55
28;12620,11;10884,29;23504,41;4471,97;27976,38
29;17559,31;31499,87;49059,18;10038;59097,18
30;40160,44;46711,41;86871,84;15778,97;102650,81
31;55765,53;44705,77;100471,3;22170,74;122642,04
32;29981,77;24291,84;54273,61;15972,64;70246,25
33;28764,36;38311,33;67075,69;10197,87;77273,56
34;42106,15;59398,29;101504,44;21134,22;122638,66
35;47947,46;37579,53;85526,99;12692,32;98219,3
36;19249,52;33530,11;52779,63;5756,26;58535,89
37;24851,97;56364,81;81216,78;15877,04;97093,82
38;38062,44;35969,59;74032,03;26857,11;100889,14
39;36923,12;34623,61;71546,72;11564,51;83111,23
40;11554,49;8927,43;20481,91;3053,92;23535,84
41;20350,06;16098,97;36449,03;3006,22;39455,25
42;25635,34;32106,32;57741,66;34725,53;92467,19
43;6795,5;5341,55;12137,05;337,4;12474,46
44;41912,88;30375,93;72288,81;13918,79;86207,6
45;16434,25;13367,17;29801,41;9980,53;39781,94
46;27580,91;27200,68;54781,59;12930,59;67712,18
47;30897,03;43107,06;74004,1;26477,82;100481,92
48;23366,73;24116,82;47483,55;34714,06;82197,61
49;24999,38;32591,31;57590,68;28566,29;86156,98
50;26202,12;21505,92;47708,04;33815,99;81524,03
51;55080,13;42745,53;97825,66;17129,11;114954,78
52;50744,85;67660,85;118405,7;25194,02;143599,71
53;33550,15;59512,02;93062,17;24432,73;117494,9
54;14045,21;32552,7;46597,9;14450,98;61048,88
55;17729,33;53321,95;71051,28;18888,74;89940,02
56;13142,51;25636,04;38778,55;23079,96;61858,51
57;5663,93;2525,89;8189,83;4814,42;13004,25
58;17160,16;20864,01;38024,17;13612,18;51636,35
59;29714,87;51971,63;81686,5;27139,45;108825,95
60;7364,65;16635,4;24000,04;8501,06;32501,11
61;28563,12;57845,14;86408,26;18431,71;104839,97
62;14300,36;12686,55;26986,91;7142,77;34129,68
63;23817,53;24292,13;48109,66;7886,8;55996,46
64;32268,35;22530,27;54798,62;5303,97;60102,59
65;23577,31;34808,98;58386,29;15562,56;73948,85
66;35353,22;35149,21;70502,44;9935,16;80437,59
67;9645,91;19436,21;29082,13;4771,52;33853,65
68;15987,55;27848,49;43836,04;8559,83;52395,87
69;38636,99;52738,07;91375,06;21652,14;113027,2
70;33527,23;63562,82;97090,05;11291,68;108381,73
71;19921,57;25510,04;45431,61;16278,81;61710,42
72;51477,99;49380,96;100858,94;14391,02;115249,96
73;16965,88;43555,81;60521,69;18909,86;79431,55
74;40762,13;65441,94;106204,07;17436,7;123640,77
75;11021,97;17646,2;28668,16;3800,85;32469,01
76;18249,49;17579,8;35829,3;5238,18;41067,48
77;73445,19;50686,72;124131,92;18966,83;143098,75
78;29839,7;42697,21;72536,91;23569,57;96106,48
79;26877,35;20473,34;47350,69;7510,89;54861,58
80;10567,19;11768,21;22335,4;5837,66;28173,06
81;42318,68;45882,82;88201,5;37996,76;126198,26
82;27687,41;23889,99;51577,4;28166,44;79743,83
83;29359,85;31931,31;61291,17;17399,45;78690,62
84;18265,88;35846,89;54112,77;15722,86;69835,62
85;22219,97;42421,11;64641,08;19234,52;83875,61
86;20701,28;19713,8;40415,09;17288,55;57703,64
87;28202,11;24032,86;52234,97;38160,84;90395,81
88;26090,2;27886,89;53977,09;50139,45;104116,54
89;5786,83;6499,16;12285,98;12602,79;24888,77
90;57852,37;46242,8;104095,17;31269,26;135364,43
91;54240,59;40526,87;94767,46;24809,72;119577,18
