ZONA;Ônibus;Trólebus;Fretado;Escolar;Automóvel;Táxi;Lotação;Metrô;Trem;Moto;Bicicleta;A pé;Caminhão;Outros;Total
70;27434,28;0,00;3387,67;2698,77;10066,81;99,48;0,00;1191,31;6266,81;327,92;330,64;48467,53;757,17;118,39;101146,78
71;69100,40;0,00;1884,75;4056,00;41810,57;528,56;0,00;2933,12;2284,02;1153,97;439,49;84839,07;1448,84;363,62;210842,41
72;25435,03;0,00;840,41;2877,60;26494,14;673,22;105,57;4382,05;401,26;0,00;154,42;44214,55;450,74;0,00;106028,99
73;12770,86;0,00;627,87;348,30;6176,30;0,00;0,00;512,54;113,30;0,00;226,60;29518,76;2644,46;0,00;52938,99
74;26187,55;114,28;289,55;1642,64;9967,55;0,00;0,00;3146,76;214,50;646,90;273,00;33825,33;460,02;0,00;76768,08
75;26025,58;79,25;858,08;2539,22;45664,91;316,21;0,00;10611,21;118,22;654,65;573,27;42062,20;563,98;0,00;130066,78
76;23413,65;94,65;1116,46;1997,62;33661,70;369,72;0,00;8942,56;216,41;1216,11;822,66;46815,53;185,30;154,64;119007,01
77;27921,20;256,28;815,50;766,58;32420,21;495,22;0,00;6170,72;1669,42;546,55;26,50;40057,43;2566,56;912,90;114625,07
78;41053,41;495,24;0,00;1877,60;35160,83;234,04;0,00;7221,50;188,52;610,83;26,50;37793,34;420,13;0,00;125081,94
79;24329,01;375,81;1324,67;2496,38;42255,05;93,28;0,00;7316,10;892,69;616,01;0,00;43455,70;998,42;98,06;124251,18
80;30658,42;6808,78;2705,69;4529,43;49596,22;0,00;0,00;9185,44;2253,92;899,64;587,82;66396,53;286,41;0,00;173908,30
81;24170,76;0,00;2815,54;3989,51;40077,91;179,30;0,00;12377,54;1200,85;1239,92;0,00;66286,78;682,41;0,00;153020,52
82;34882,63;7308,90;1411,42;7450,64;51830,68;2150,85;0,00;10427,70;909,19;1130,30;0,00;90248,97;893,25;117,50;208762,03
83;90629,13;4541,76;5804,51;10091,21;104677,13;354,38;271,33;5031,56;2552,84;1694,15;572,51;152339,41;1408,33;277,92;380246,17
84;37876,78;0,00;2345,79;1189,21;20804,73;583,48;642,52;7302,81;4143,07;719,08;1039,11;88836,51;1580,09;0,00;167063,18
85;56679,38;311,51;5156,36;2013,70;63903,82;479,12;0,00;16158,81;5482,06;1591,55;420,17;129951,56;720,89;559,91;283428,84
86;29430,50;141,58;647,87;2214,03;26549,21;615,58;76,65;15703,08;5697,66;262,43;342,72;93463,47;114,45;0,00;175259,23
87;17144,82;400,64;0,00;245,28;14039,72;0,00;0,00;5497,31;371,40;0,00;0,00;40996,11;680,40;0,00;79375,68
88;27938,75;1973,63;1942,05;2551,01;23194,58;562,36;0,00;5651,16;497,73;230,70;456,22;68400,64;416,81;649,08;134464,72
89;60777,06;1350,35;5524,43;2954,68;28795,53;0,00;0,00;4971,95;1238,40;1765,98;0,00;158028,07;326,59;128,34;265861,38
90;58696,81;156,50;5760,13;966,99;22909,05;781,12;814,51;4184,37;4115,56;1025,56;798,95;96663,67;187,90;0,00;197061,12
91;35270,27;0,00;3293,53;840,05;22089,27;0,00;1047,25;9340,55;8199,58;274,18;748,01;86496,04;192,62;0,00;167791,35
92;38931,19;306,89;1759,35;2953,50;24403,32;132,62;206,41;7944,09;8195,35;565,65;0,00;63201,40;704,64;0,00;149304,41
93;23747,56;672,80;2885,31;2602,48;17443,61;113,79;0,00;9572,97;1899,85;0,00;596,28;42357,00;340,94;0,00;102232,59
94;56645,35;3459,77;9005,85;3283,55;32017,45;0,00;229,50;10001,47;2574,59;1191,73;735,91;129051,91;323,38;76,92;248597,38
95;22935,04;0,00;2273,05;675,68;10192,50;0,00;1197,55;7775,33;10901,12;0,00;2199,02;63036,62;246,38;0,00;121432,29
96;36713,67;163,23;2261,46;0,00;17318,77;0,00;662,78;6508,57;8440,36;408,47;77,18;80762,91;328,09;1135,26;154780,75
97;35537,16;599,60;2499,99;0,00;11185,38;0,00;632,41;8538,11;11844,69;906,08;1234,08;89049,65;1294,18;347,44;163668,77
98;32994,29;1685,39;3951,76;1932,33;8621,34;0,00;0,00;21499,95;3392,22;0,00;127,72;90178,70;229,70;688,88;165302,28
99;34476,42;322,42;917,50;465,49;16897,97;122,04;3503,65;15251,39;31870,61;229,48;2107,07;84760,53;379,54;563,10;191867,21
100;25075,97;1076,47;1243,09;1102,02;6839,19;0,00;67,71;9547,93;359,52;0,00;0,00;66771,77;506,77;505,29;113095,73
101;13969,52;0,00;565,23;181,46;5637,29;0,00;0,00;1205,49;150,13;164,38;99,72;17212,99;0,00;91,04;39277,25
102;38732,30;0,00;2810,32;2380,43;25966,63;160,28;0,00;2172,64;182,80;363,19;0,00;68959,36;404,69;0,00;142132,64
103;27848,49;0,00;645,19;1615,76;39051,16;493,67;427,32;3598,20;0,00;1309,23;298,98;38788,29;171,88;1050,78;115298,95
104;52375,93;555,28;15724,48;5385,04;80709,72;1261,21;150,47;2167,01;1838,90;1926,87;0,00;39942,76;855,83;598,38;203491,88
105;69800,78;1496,86;3973,09;1308,74;120816,92;585,63;0,00;2408,63;518,74;2092,54;1018,74;31642,66;801,93;422,26;236887,52
106;98041,49;399,60;2559,56;602,64;45246,79;979,80;216,97;1908,73;1319,78;1176,42;276,29;22706,92;0,00;189,12;175624,11
107;1658,93;0,00;114,94;478,14;10585,30;0,00;0,00;0,00;0,00;1,33;0,00;1625,12;114,94;0,00;14578,70
108;132451,99;2756,93;11482,29;2089,11;61572,01;2718,91;0,00;1524,37;1527,50;4141,73;499,28;226671,25;956,63;2233,68;450625,68
109;29203,88;0,00;3802,15;323,48;18593,90;43,58;0,00;1483,12;596,65;462,87;0,00;19884,30;109,33;0,00;74503,26
110;58047,75;0,00;4556,62;2670,64;45579,33;174,67;241,92;1485,54;340,35;1438,70;1617,66;106114,87;778,76;1883,71;224930,52
111;19501,25;0,00;1159,60;221,06;2732,13;0,00;0,00;520,13;190,80;78,38;528,98;28766,36;399,82;0,00;54098,51
112;91017,33;2678,20;3889,53;1044,21;29868,44;105,49;0,00;4221,30;1101,82;1537,32;1255,75;173005,67;500,69;189,89;310415,64
113;78562,59;307,36;3620,80;1529,31;23910,15;483,82;0,00;845,62;613,57;1220,65;0,00;111754,85;165,25;165,65;223179,62
114;33258,72;157,39;1065,03;5557,80;72971,16;473,08;0,00;2934,51;1380,40;1188,02;704,86;22552,70;1126,89;0,00;143370,56
115;27918,76;0,00;3390,50;1142,65;30403,01;0,00;0,00;383,82;3346,58;537,90;390,32;21853,15;887,37;0,00;90254,06
116;51303,04;0,00;3484,54;3374,73;72871,97;0,00;382,21;1210,01;0,00;647,19;950,74;46738,41;2120,20;0,00;183083,04
117;42175,59;0,00;2847,16;6065,57;61727,04;158,10;168,13;1152,85;468,86;1059,22;477,19;67297,12;939,61;0,00;184536,44
118;28652,77;115,89;2964,20;1483,90;16901,61;0,00;308,11;382,51;799,53;208,16;854,83;63869,89;417,19;111,47;117070,06
119;14423,29;0,00;145,36;1106,30;8657,35;0,00;0,00;342,74;15981,87;132,12;137,00;53833,89;507,04;0,00;95266,96
120;7078,41;0,00;1354,71;270,64;4184,11;59,03;0,00;0,00;1179,46;0,00;187,57;33478,86;246,63;213,78;48253,20
121;10166,43;0,00;3843,95;1644,00;7470,89;0,00;0,00;685,00;6962,41;137,00;548,00;31761,41;0,00;137,00;63356,09
122;21841,16;0,00;2292,03;0,00;28118,83;251,41;0,00;2765,51;19024,23;1094,18;0,00;52863,67;0,00;1005,64;129256,66
123;6464,42;0,00;190,13;380,26;1894,18;0,00;0,00;1330,91;20103,13;0,00;0,00;41638,47;190,13;380,26;72571,89
124;4352,85;0,00;1379,95;702,70;23216,40;161,22;161,22;1128,54;0,00;483,66;322,44;32244,00;1084,86;161,22;65399,06
125;46791,42;0,00;8042,61;1612,77;25079,41;517,24;1121,60;4329,54;242,96;142,02;940,81;65635,04;201,96;0,00;154657,38
126;82098,69;0,00;8999,68;9467,43;90982,92;164,57;0,00;7106,36;348,80;4366,71;615,12;110144,96;1499,54;1791,10;317585,88
127;30140,43;0,00;5208,70;5027,53;37733,22;149,34;0,00;3692,83;348,24;192,09;1408,88;62831,72;1172,10;0,00;147905,08
128;36030,33;0,00;1557,73;1394,97;20807,00;1063,00;0,00;1069,90;156,95;791,82;414,03;23544,10;194,09;150,41;87174,33
129;45437,20;247,90;9394,40;2666,00;53003,71;210,83;277,38;4635,17;1603,36;803,00;1268,37;58463,68;1613,50;383,74;180008,24
130;23868,47;0,00;5552,53;0,00;8156,67;0,00;0,00;1247,24;0,00;535,43;1372,94;65739,11;516,84;213,64;107202,87
131;55599,48;0,00;34484,03;226,21;30061,68;0,00;689,40;4453,31;3804,47;484,86;4726,32;112208,63;1384,02;303,68;248426,09
132;7208,40;0,00;2339,90;603,02;7567,04;235,08;0,00;352,62;425,09;141,42;705,24;23359,48;258,96;0,00;43196,25
133;4430,29;0,00;581,00;565,68;11669,19;0,00;0,00;141,42;0,00;424,26;4384,02;40448,24;1414,20;0,00;64058,30
134;5666,35;0,00;2674,48;15,32;3863,19;64,71;0,00;417,36;1027,38;0,00;100,65;10631,70;286,50;0,00;24747,64
135;18268,94;0,00;3075,50;0,00;20218,01;0,00;0,00;2958,25;19166,30;1107,92;515,81;89391,48;609,95;0,00;155312,16
136;5665,76;0,00;301,39;0,00;7858,73;0,00;30,38;168,85;632,81;59,34;360,87;14472,57;1238,97;192,26;30981,93
137;22113,67;0,00;1150,24;294,01;15244,20;572,52;1527,00;5978,66;13425,23;182,72;913,66;59050,49;463,88;0,00;120916,28
138;16151,66;0,00;1482,92;177,78;17081,69;0,00;0,00;2700,86;10731,63;898,18;1749,22;60518,92;0,00;0,00;111492,86
139;45282,72;158,18;10845,02;896,15;23962,03;219,49;0,00;4908,25;11714,22;238,32;4616,73;75524,33;1684,35;0,00;180049,79
140;2622,59;0,00;716,90;0,00;1093,76;0,00;0,00;76,99;1150,93;0,00;535,56;7384,34;339,20;0,00;13920,27
141;15214,42;0,00;2710,80;1054,62;11822,04;0,00;383,04;0,00;4106,11;633,39;1075,56;36867,02;0,00;0,00;73867,00
142;86084,14;0,00;10696,84;4801,12;70352,97;0,00;0,00;8425,52;21243,90;2055,88;4031,47;164833,64;755,88;0,00;373281,36
143;5983,14;0,00;1680,73;0,00;1746,76;0,00;0,00;143,80;209,14;0,00;0,00;6661,44;143,80;0,00;16568,81
144;5711,08;0,00;5475,03;0,00;6080,37;0,00;0,00;0,00;877,14;164,97;535,93;6651,30;92,21;0,00;25588,03
145;907,52;0,00;92,32;0,00;241,91;0,00;0,00;0,00;46,16;46,16;62,20;2546,80;0,00;0,00;3943,07
146;1028,99;0,00;141,63;0,00;3629,47;71,43;0,00;0,00;0,00;356,97;1527,72;12476,83;296,84;0,00;19529,88
147;2027,54;0,00;2148,20;0,00;2173,96;0,00;0,00;0,00;0,00;81,97;1744,59;15389,96;583,98;95,10;24245,30
148;1050,52;0,00;207,30;0,00;4253,11;0,00;0,00;113,53;0,00;207,75;561,42;12326,01;1959,43;95,10;20774,17
149;35140,26;342,30;18440,74;1196,92;13686,29;301,34;66,18;1582,88;36133,70;1349,60;1447,06;145636,56;2046,45;0,00;257370,28
150;21636,51;0,00;5385,74;1670,86;22243,21;0,00;0,00;981,21;7970,31;1209,88;681,62;33379,16;88,62;160,15;95407,27
151;6476,45;0,00;3759,11;232,86;6390,99;0,00;143,92;1562,68;3108,85;280,23;498,45;19748,95;135,07;0,00;42337,56
152;25389,83;0,00;6734,97;1957,37;17893,16;0,00;0,00;1231,26;11093,01;0,00;1702,10;56940,13;464,80;0,00;123406,63
153;3281,69;242,03;1481,24;0,00;1381,26;0,00;0,00;315,18;4808,07;0,00;0,00;16422,26;0,00;0,00;27931,73
154;34640,92;0,00;7947,52;2446,03;30523,99;0,00;179,74;1188,10;8233,61;1413,84;1460,21;55299,12;173,66;122,43;143629,17
155;34621,76;123,78;4434,34;1420,33;39940,02;312,48;0,00;1418,52;8754,76;1091,50;528,05;64835,56;587,76;152,96;158221,82
156;27734,94;0,00;3235,78;2146,81;55120,26;114,66;0,00;1188,90;5534,16;800,51;453,58;52483,54;1460,81;406,55;150680,50
157;90463,94;0,00;6422,16;3638,12;87622,20;2533,45;0,00;1613,42;20159,98;3702,33;144,18;51258,27;2465,75;173,66;270197,46
158;59193,01;0,00;17007,12;9643,70;106083,92;540,18;0,00;1542,26;6400,60;979,03;377,09;106664,34;2636,83;1039,82;312107,90
159;41646,12;0,00;10452,46;1921,87;29577,25;1353,30;441,85;916,04;3208,23;1031,86;246,36;90256,01;1051,64;82,12;182185,11
160;48469,47;0,00;7036,77;923,75;60002,98;221,98;0,00;2550,07;15155,64;1326,83;1224,03;73615,49;140,55;658,32;211325,88
161;30677,27;113,42;3340,87;3338,93;69219,03;88,97;113,42;1251,89;2841,70;1320,75;857,40;84437,19;769,39;0,00;198370,23
162;75425,13;112,73;35105,12;11518,58;97553,05;0,00;97,30;9341,47;781,49;3471,63;734,89;129165,04;857,20;416,58;364580,21
163;31519,81;150,06;6107,89;2436,93;60721,72;48,40;0,00;1105,82;867,54;1145,13;836,63;50428,61;965,29;236,70;156570,53
164;92239,13;0,00;9910,81;4942,25;153640,92;0,00;0,00;1671,34;1334,30;2317,34;462,54;112652,97;2914,55;262,02;382348,17
165;60257,41;0,00;39746,64;6980,31;76025,08;0,00;97,81;2810,27;1297,95;947,31;732,21;94301,28;2205,58;1079,04;286480,89
166;6767,87;0,00;842,29;0,00;3581,88;0,00;0,00;0,00;0,00;121,00;145,24;13772,06;563,42;0,00;25793,76
167;26523,10;0,00;6106,57;337,34;24662,70;644,43;113,42;1943,66;349,03;1927,90;1139,06;63534,29;1597,88;220,89;129100,27
168;74034,91;0,00;5519,11;1572,35;67451,15;440,52;0,00;11092,44;0,00;1519,48;1647,08;188050,92;1056,33;850,17;353234,46
169;12508,17;0,00;1374,41;0,00;3094,32;0,00;0,00;3256,27;0,00;0,00;262,30;28754,09;458,31;196,01;49903,88
170;6246,27;37,91;619,01;120,18;3263,09;0,00;0,00;227,95;0,00;104,80;470,76;18026,60;606,82;0,00;29723,39
171;4747,17;0,00;406,39;0,00;1830,89;0,00;0,00;57,94;0,00;0,00;0,00;11805,60;232,57;83,21;19163,77
172;68376,35;0,00;5312,69;1431,28;28356,54;90,61;166,39;316,31;342,57;2235,74;1038,88;99879,51;608,56;120,82;208276,25
173;51336,75;0,00;2205,23;231,72;13637,94;0,00;79,79;0,00;0,00;707,84;0,00;75883,68;194,21;0,00;144277,16
174;22498,98;1032,61;2593,58;0,00;19417,64;304,16;0,00;752,16;168,95;1137,92;1133,38;66720,04;1344,77;593,36;117697,55
175;1493,74;0,00;517,61;0,00;1229,52;0,00;0,00;0,00;0,00;0,00;0,00;5939,10;257,93;0,00;9437,90
176;3093,67;0,00;0,00;0,00;4564,25;0,00;0,00;109,32;0,00;0,00;318,67;20393,85;148,20;252,80;28880,76
177;13202,18;0,00;2947,95;1288,96;8537,50;0,00;283,75;137,52;226,12;479,43;99,52;17087,52;766,77;0,00;45057,22
178;20583,78;0,00;4345,92;1868,88;12730,01;154,16;0,00;185,49;63,52;329,42;154,29;35705,74;427,87;0,00;76549,08
179;166,18;0,00;0,00;0,00;106,83;0,00;0,00;0,00;0,00;0,00;0,00;295,02;0,00;0,00;568,03
180;1874,05;0,00;76,33;34,42;903,58;0,00;0,00;0,00;0,00;171,04;165,00;4038,16;83,82;83,82;7430,22
181;2729,70;0,00;500,99;0,00;4815,76;0,00;0,00;0,00;0,00;449,30;517,70;10627,42;95,90;0,00;19736,77
182;60795,22;0,00;3032,63;4008,81;66098,65;220,28;118,55;1372,58;5181,49;2939,38;965,15;81746,43;1488,04;814,35;228781,56
183;60640,22;0,00;921,01;2138,03;39914,93;0,00;198,66;382,36;8756,21;737,83;256,69;35649,59;592,74;0,00;150188,27
184;30656,10;0,00;2438,52;1807,19;29722,97;226,43;221,72;1561,92;5698,72;1073,86;1139,27;60367,93;1599,63;272,15;136786,41
185;83875,94;482,07;6612,71;6521,97;52133,11;498,85;0,00;1378,62;20000,42;2732,76;1322,59;159919,43;432,70;594,61;336505,78
186;45962,39;0,00;4498,47;2081,45;22210,52;0,00;0,00;629,45;2615,37;771,13;731,36;54917,20;670,20;793,42;135880,96
187;6281,47;0,00;460,09;0,00;3520,68;55,85;0,00;318,20;2020,53;0,00;105,09;14466,46;197,23;0,00;27425,60
188;10571,00;0,00;1588,68;203,88;2533,54;0,00;0,00;303,89;4816,96;0,00;0,00;30834,71;0,00;0,00;50852,66
189;61064,06;0,00;2222,92;1355,20;23492,29;66,45;310,43;2864,16;34383,36;552,42;570,48;101612,47;238,51;313,62;229046,37
190;17667,69;0,00;10961,44;0,00;29504,81;0,00;297,47;771,73;4484,67;309,82;161,91;9919,27;417,25;79,07;74575,13
191;20516,48;0,00;5380,82;1669,00;19436,21;87,74;294,59;344,07;17114,35;1111,52;561,83;66653,54;1116,22;844,61;135130,98
192;14593,52;0,00;2507,60;458,07;7884,53;0,00;0,00;634,68;11912,22;163,67;410,47;43224,19;300,51;155,02;82244,48
193;12395,68;0,00;1823,83;293,48;9373,22;0,00;0,00;524,18;22591,12;955,25;551,45;53057,78;173,72;229,38;101969,09
194;3871,51;0,00;1653,21;254,00;13901,31;53,87;0,00;0,00;581,63;0,00;205,25;20920,07;281,45;173,72;41896,02
195;2390,37;0,00;741,64;930,26;3077,32;0,00;0,00;166,34;166,34;132,90;0,00;2470,56;234,50;0,00;10310,23
196;11962,93;0,00;0,00;226,54;26109,90;748,70;0,00;1247,47;1059,83;769,41;191,32;6068,23;80,23;105,32;48569,88
197;1759,51;0,00;0,00;182,84;6605,60;0,00;0,00;726,53;72,91;366,96;67,40;964,72;0,00;0,00;10746,47
198;4744,29;327,98;210,22;0,00;6598,31;0,00;0,00;653,16;100,08;0,00;0,00;15747,34;0,00;0,00;28381,38
