ZONA;Ônibus;Trólebus;Fretado;Escolar;Automóvel;Táxi;Lotação;Metrô;Trem;Moto;Bicicleta;A pé;Caminhão;Outros;Total
1;241306,45;16873,24;2192,72;1071,19;135095,24;8822,54;2261,09;254627,75;27156,42;4495,17;118,22;121532,88;1573,53;3642,49;820768,93
2;11768,31;2581,90;931,98;381,90;13830,42;444,49;101,95;11657,26;11558,44;265,51;0,00;10816,71;546,17;463,66;65348,70
3;6798,83;184,05;81,99;0,00;2850,17;228,20;0,00;4660,12;0,00;0,00;0,00;13047,60;38,46;0,00;27889,42
4;8066,79;938,06;0,00;0,00;5829,17;142,50;0,00;2825,16;607,78;191,69;0,00;11184,68;0,00;0,00;29785,83
5;19667,29;913,56;584,32;230,20;22352,64;667,22;0,00;34469,99;395,49;196,05;0,00;33932,21;0,00;0,00;113408,97
6;36856,47;1457,25;597,06;268,35;38275,04;2198,04;216,97;13642,92;598,20;765,67;0,00;37263,99;499,89;83,98;132723,83
7;21589,91;940,43;139,74;224,90;23070,82;1958,97;0,00;13799,50;372,59;898,69;0,00;14409,05;730,00;209,49;78344,09
8;13228,31;0,00;123,08;0,00;11377,30;51,37;0,00;9931,08;546,65;292,68;0,00;14751,55;125,90;0,00;50427,92
9;17590,70;53,34;0,00;1372,03;17254,35;589,01;0,00;6671,58;4630,96;354,35;0,00;28579,74;114,28;338,66;77549,00
10;21142,80;0,00;195,51;1536,05;25031,34;1594,60;0,00;13591,82;15658,14;687,55;42,96;29200,99;497,59;67,29;109246,64
11;10523,66;106,77;368,02;379,61;16757,05;0,00;0,00;23382,97;4668,90;237,47;74,28;11409,47;786,21;326,50;69020,91
12;21686,61;247,90;717,82;881,29;37045,11;79,96;80,96;8578,36;6854,08;245,81;31,32;23311,43;742,84;300,82;100804,31
13;37603,50;2297,55;210,28;699,00;34020,80;372,32;0,00;13854,56;26689,01;328,50;0,00;28172,72;126,20;0,00;144374,44
14;40727,90;6186,98;934,37;1129,71;42565,97;280,26;0,00;16110,87;14176,99;129,25;0,00;45020,93;2006,23;0,00;169269,46
15;39947,57;2492,79;1341,97;2266,66;43432,00;590,77;0,00;4776,42;3800,25;657,94;0,00;29482,94;74,87;0,00;128864,18
16;22194,76;1885,31;344,19;816,69;43948,94;1519,21;0,00;30129,94;76,43;600,97;0,00;28224,46;0,00;125,95;129866,85
17;24439,67;3624,71;240,07;1654,57;49638,27;115,31;0,00;17095,85;146,43;425,44;0,00;25783,50;705,89;126,08;123995,79
18;52815,54;219,98;684,55;1124,75;113839,52;3118,41;0,00;44984,81;189,42;2474,26;0,00;49979,77;763,26;719,85;270914,12
19;109095,47;4188,59;1663,92;1557,67;107183,30;4677,82;150,47;29974,71;5164,37;2874,61;0,00;49621,26;156,47;396,38;316705,04
20;38987,25;1445,91;550,94;2712,33;82996,79;4208,07;0,00;4513,77;1453,81;802,46;0,00;34321,58;0,00;0,00;171992,91
21;26029,31;553,07;203,81;361,74;55091,03;1385,03;0,00;3547,06;486,08;716,43;0,00;20905,50;110,82;0,00;109389,88
22;15134,41;0,00;267,53;1239,16;31103,03;353,63;0,00;7731,19;1353,92;146,22;0,00;29644,29;247,06;0,00;87220,44
23;14071,96;0,00;239,99;70,42;15433,57;821,09;0,00;2833,87;6138,80;440,70;0,00;15536,96;67,05;90,82;55745,23
24;76655,89;1054,39;837,92;4157,11;137863,95;2974,41;208,01;9629,55;8667,59;1923,45;69,35;94564,69;507,21;75,99;339189,51
25;31408,97;174,18;2486,98;1154,33;20640,32;251,81;54,07;2010,94;11059,46;737,03;0,00;9333,29;365,62;277,53;79954,53
26;21018,84;276,15;761,44;2287,44;43038,66;935,30;0,00;2684,87;858,57;1618,48;91,00;39274,10;509,10;0,00;113353,95
27;46096,39;1379,58;490,63;3145,47;52135,34;1843,16;130,60;17768,13;190,13;1285,07;79,49;36967,04;247,69;264,93;162023,65
28;43531,64;290,10;2361,47;2311,85;93917,64;2734,59;174,96;32311,81;3176,76;1557,17;0,00;68362,66;1281,99;233,70;252246,34
29;19677,34;0,00;761,13;835,65;28682,62;1178,40;0,00;2014,50;1038,28;317,24;101,18;39476,70;901,71;0,00;94984,75
30;38614,93;1184,32;3398,17;2139,06;33013,93;1616,06;0,00;17527,09;4000,54;448,51;0,00;16765,34;470,41;0,00;119178,36
31;26694,77;3082,78;758,19;1947,45;46875,42;513,78;0,00;10268,05;2822,64;1048,87;0,00;27877,00;119,87;534,27;122543,09
32;37020,24;7275,11;2263,27;2674,39;87768,25;1271,84;0,00;4739,42;5683,12;1263,75;380,97;60147,41;232,10;215,29;210935,16
33;76171,47;3318,24;1505,55;4163,36;109028,93;225,55;0,00;8824,82;7650,68;1594,45;617,86;77000,74;1866,84;336,86;292305,35
34;99383,71;307,73;2188,67;3506,85;201165,11;1495,90;0,00;71786,97;681,53;4636,62;148,30;152355,82;1771,72;3137,61;542566,54
35;80387,84;1142,02;549,33;2055,69;169515,52;5138,04;0,00;16467,52;1789,53;2365,79;855,87;53210,15;932,04;1978,17;336387,51
36;40661,91;1392,39;1280,31;891,44;88131,28;932,27;0,00;5647,08;1519,81;1063,57;283,78;34603,88;0,00;416,04;176823,76
37;13021,06;1641,73;247,96;947,65;46163,12;848,88;863,51;2155,18;884,75;1329,86;0,00;10771,35;96,30;247,96;79219,31
38;46828,77;95,76;360,70;1337,70;55013,20;1013,52;0,00;4462,41;1816,89;1629,36;13,48;22571,58;114,28;0,00;135257,65
39;18855,48;137,55;659,71;1096,22;51218,91;964,02;192,04;833,74;54,08;470,92;98,35;23979,06;0,00;0,00;98560,08
40;12446,84;0,00;377,80;1884,25;30136,56;582,45;0,00;225,91;2003,08;543,61;0,00;12700,57;544,35;0,00;61445,42
41;66182,74;0,00;514,42;1344,00;47586,95;1809,42;0,00;4231,34;17998,27;844,83;0,00;25246,50;664,85;80,09;166503,41
42;22071,61;0,00;995,33;657,01;21142,99;358,02;0,00;1252,66;12844,91;507,76;320,21;8078,77;67,06;218,63;68514,96
43;36700,17;115,07;2677,37;5466,35;42899,42;986,19;309,79;3453,00;4330,69;1093,67;711,33;57246,48;1727,06;0,00;157716,59
44;32675,34;954,02;1705,21;1764,56;55886,00;304,48;0,00;2300,58;2757,68;2690,35;593,14;35516,02;377,93;232,46;137757,77
45;67505,54;1031,40;2358,30;6132,53;102213,49;3005,59;159,74;21952,50;1471,19;2794,49;1092,18;140616,68;460,06;472,16;351265,85
46;31316,34;1865,23;1338,92;3103,94;80556,14;3026,99;0,00;25882,39;1212,62;1702,93;115,34;49181,14;533,47;177,08;200012,53
47;43185,95;170,51;1867,98;4152,05;84530,79;1730,13;0,00;23490,96;251,73;578,30;2149,76;110138,65;1617,73;441,14;274305,68
48;53336,44;77,95;10125,02;2951,86;66391,81;1048,43;268,57;15067,27;484,32;4537,06;1339,95;144580,93;2110,95;1899,76;304220,32
49;23321,76;0,00;1632,51;679,31;36603,50;0,00;0,00;2725,71;490,41;283,91;0,00;52339,86;0,00;252,13;118329,10
50;18148,55;0,00;1063,95;73,53;17384,27;181,10;0,00;1457,44;1975,45;496,93;2630,71;32427,05;205,14;0,00;76044,12
51;46103,62;3521,67;114,14;1514,13;54658,54;414,39;0,00;13662,71;9616,07;458,65;0,00;33835,62;1016,13;109,61;165025,28
52;30216,27;983,91;1028,74;1622,49;64537,63;915,31;0,00;20694,00;4926,37;2500,68;254,47;60835,52;203,80;340,23;189059,42
53;15306,91;1315,79;440,95;807,77;30174,90;0,00;0,00;4580,90;675,18;385,52;0,00;28096,47;430,73;0,00;82215,12
54;31421,56;1591,70;3874,06;1000,34;56095,51;235,35;0,00;4015,24;6845,47;759,96;1747,25;83292,48;725,37;621,65;192225,94
55;90718,14;238,12;6025,38;4328,28;85849,76;540,55;0,00;14166,70;1341,20;1560,57;1228,76;154939,90;1062,18;1183,77;363183,31
56;39604,80;474,89;1128,10;3053,62;57747,48;393,43;489,75;32003,52;181,10;347,97;62,21;61020,79;918,43;769,15;198195,24
57;83808,27;1,28;3287,56;2259,11;35146,64;0,00;555,93;16783,85;155,98;1388,46;0,00;127297,31;162,39;0,00;270846,78
58;42751,32;327,46;1680,41;2750,60;91312,73;877,42;0,00;27789,27;287,20;941,37;586,34;95218,75;1372,37;313,65;266208,89
59;71268,49;1574,80;2364,30;5417,15;154123,53;2348,91;0,00;5132,72;1318,63;2877,18;289,04;36578,17;952,16;0,00;284245,08
60;18535,33;0,00;1385,72;1612,81;33766,63;663,66;0,00;1502,10;337,44;1809,74;187,02;17841,29;0,00;0,00;77641,74
61;16456,21;376,56;1266,79;91,17;28845,30;708,62;0,00;2066,70;1273,35;236,82;49,78;10809,94;0,00;0,00;62181,24
62;24965,78;657,96;151,38;155,06;48020,75;433,42;0,00;1803,65;684,17;235,81;38,68;9161,56;256,89;0,00;86565,11
63;63709,16;0,00;638,97;154,40;85506,03;1435,00;0,00;3466,22;2287,30;2522,21;674,03;32155,34;168,95;645,82;193363,43
64;14629,52;0,00;680,76;177,68;41555,72;241,13;0,00;1672,09;1682,00;327,85;303,73;6776,98;88,62;0,00;68136,08
65;17038,76;0,00;843,27;2939,08;32327,93;0,00;0,00;507,88;4032,26;80,36;0,00;7598,12;450,02;0,00;65817,68
66;8682,13;0,00;0,00;41,99;7464,35;153,11;0,00;743,50;5971,78;55,20;0,00;4758,81;209,72;0,00;28080,59
67;21955,63;108,82;2695,30;0,00;27630,11;264,78;0,00;1122,51;15573,08;721,02;107,03;14606,24;2787,16;933,74;88505,42
68;50617,92;150,65;6743,02;2346,72;68667,89;0,00;0,00;2342,79;8577,13;888,69;794,71;81089,77;780,61;580,21;223580,11
69;33896,82;0,00;1371,53;3534,54;28553,72;0,00;0,00;2102,59;10169,33;1800,47;484,61;51084,00;945,61;269,04;134212,26
