ZONA;Coletivo;Individual;Motorizado;Não Motorizado;Total
1;316405,19;61961,94;378367,13;53928,31;432295,44
2;16261,03;9075,42;25336,45;5480,35;30816,8
3;36307,56;12761,39;49068,95;8534,58;57603,53
4;40108,44;15729,88;55838,32;12310,87;68149,19
5;19206,94;11243,49;30450,43;9854,15;40304,58
6;17162,23;6072,27;23234,5;12451,37;35685,87
7;40496,26;15971,37;56467,63;12550,53;69018,16
8;62215,6;37254,69;99470,29;25812,01;125282,3
9;167391,09;39329,73;206720,82;44040,78;250761,6
10;116527,58;39833,12;156360,7;33586,58;189947,28
11;24925,84;10180,4;35106,24;5382,18;40488,42
12;34915,91;15161,73;50077,64;13975,66;64053,3
13;30466,69;8301,87;38768,56;10207,61;48976,17
14;50704,31;37103,41;87807,72;19660,73;107468,45
15;44675,13;44499,75;89174,88;22585,82;111760,7
16;40312,78;33113,41;73426,19;13133,34;86559,53
17;23020,41;22214,9;45235,31;10435,69;55671
18;40878,69;22122,33;63001,02;18420,88;81421,9
19;17824,37;11478,45;29302,82;5124,64;34427,46
20;11494,26;6767,96;18262,22;3170,4;21432,62
21;13533,58;14083,6;27617,18;5274,48;32891,66
22;99995,73;59912,84;159908,57;24637,21;184545,78
23;78210,64;58754,57;136965,21;21391,61;158356,82
24;123903,71;67121,06;191024,77;34864,17;225888,94
25;27810,21;23498,78;51308,99;15970,54;67279,53
26;72782,05;27602,04;100384,09;22656,87;123040,96
27;40029,82;14616,23;54646,05;11485,06;66131,11
28;46828,09;15053,42;61881,51;13337,99;75219,5
29;26887,08;17923,57;44810,65;20231,25;65041,9
30;13286,12;13258,94;26545,06;10492,57;37037,63
31;30213,46;9073,73;39287,19;6258,95;45546,14
32;38325,75;17683,96;56009,71;9208,48;65218,19
33;24147,44;14712,72;38860,16;8930,01;47790,17
34;31008,39;36626,13;67634,52;22256,2;89890,72
35;36551,66;27368,21;63919,87;28966,38;92886,25
36;67916,44;44578,41;112494,85;23630,12;136124,97
37;19172,14;24913,81;44085,95;10726,45;54812,4
38;8601,91;13047,06;21648,97;3470,68;25119,65
39;11502,82;12889,58;24392,4;3843,53;28235,93
40;25698,89;19243,34;44942,23;8730,04;53672,27
41;35076,12;31145,12;66221,24;12051,91;78273,15
42;61558,24;70585,2;132143,44;7801,94;139945,38
43;44843,38;56093,42;100936,8;11732,64;112669,44
44;50007,09;54526,69;104533,78;14615,13;119148,91
45;25377,42;30212,39;55589,81;11744,35;67334,16
46;26976,76;28095,66;55072,42;10951,35;66023,77
47;19447,61;10543,76;29991,37;7382,89;37374,26
48;29765,09;18628,12;48393,21;4159,85;52553,06
49;29420,76;21611,36;51032,12;21255,86;72287,98
