ZONA;Coletivo;Individual;Motorizado;Não Motorizado;Total
1;106112,47;26924,48;133036,95;27144,91;160181,86
2;78897,99;26178,91;105076,91;14022,91;119099,81
3;28373,57;10961,95;39335,51;17599,62;56935,13
4;40825,35;20721,45;61546,79;24588,56;86135,36
5;110520,02;25844,18;136364,2;41130,17;177494,37
6;58048,21;21781,91;79830,12;15307,54;95137,66
7;61995,57;21205,05;83200,62;21996,98;105197,61
8;10265,53;9307,42;19572,95;6949,29;26522,24
9;19253,61;7552,79;26806,4;5415,23;32221,62
10;7571,14;6634,38;14205,52;3761,77;17967,29
11;2024,72;3244,29;5269,01;1870,49;7139,5
12;18805,46;17630,48;36435,94;11216;47651,94
13;9606,21;4410,74;14016,95;3423,21;17440,16
14;38209,58;10516,92;48726,5;7485,2;56211,7
15;10425,11;5592,7;16017,81;7364,57;23382,38
16;18216,82;9648,65;27865,47;7825,25;35690,71
17;11232,17;6250,3;17482,47;2961,61;20444,09
18;25987,52;16217,66;42205,19;13254,36;55459,55
19;15541,5;18514,67;34056,17;9100,76;43156,93
20;15354,2;11912,93;27267,13;9050,27;36317,41
21;8079,76;18997,88;27077,63;7432,39;34510,02
22;14147,99;9836,28;23984,28;6359,61;30343,89
23;26369,04;13501,46;39870,5;5613,54;45484,04
24;47113,42;17344,61;64458,02;19508,81;83966,83
25;7433,61;6748,24;14181,86;15389,37;29571,23
26;20872,59;9041,29;29913,87;15842,2;45756,07
27;54442,02;40335,84;94777,86;21382,77;116160,63
28;21432,67;14488,32;35920,99;8969,34;44890,33
29;26980,74;17916,77;44897,51;14705,19;59602,69
30;20369,9;21044,26;41414,16;15164,24;56578,4
31;50464,09;29939,28;80403,36;27480,16;107883,52
32;37159,6;20295,15;57454,74;13185,39;70640,13
33;885,31;4181,51;5066,81;1262,3;6329,11
34;7612,55;13512,65;21125,19;6141,85;27267,04
35;48663,43;18620,37;67283,8;30331,96;97615,76
36;44493,25;37346,96;81840,21;25136,13;106976,34
37;15155,62;11677,76;26833,38;4223,84;31057,22
38;5877,35;2704,07;8581,42;2246,38;10827,8
39;16989,21;9667,04;26656,26;3060,41;29716,67
40;13991,12;7605,19;21596,31;6045,96;27642,27
41;26036,7;16592,27;42628,97;9098,32;51727,29
42;10483,87;5452,31;15936,17;5877,63;21813,81
43;46122,76;28381,15;74503,91;9753,05;84256,96
44;15323,76;17884,67;33208,43;9406,11;42614,54
